amendment_id,human_issue_code,revision_direction,ideological_valence,candidate_position,confidence,review_status,position_evidence_allowed,review_note
74853,gambling,broadens_lottery_format_and_protects_existing_gambling,indeterminate,"Proposed removing mobile, Internet-based, and monitor-based interactive games from SB220's express lottery exclusions while specifying that bingo and pari-mutuel wagering were not video lottery.",high,reviewed,true,"The amendment must be read with the archived introduced SB220. Contrary to one model summary, deleting the phrase broadens rather than narrows permissible lottery formats; the added sentence separately protects bingo and pari-mutuel wagering from the video-lottery definition."
76059,criminal_justice,removes_executive_parole_objection,progressive,"Proposed deleting a requirement that the parole board notify the governor and attorney general of certain consideration dates and reverse a parole-consideration decision if either objected.",high,reviewed,true,"The amendment fragment is uninterpretable alone, and one model fabricated unrelated spending language. Page 17 of the archived HB380 identifies the deleted provision exactly; removing an executive objection mechanism increases parole-board discretion and is coded reform-minded/progressive."
75861,public_education,adds_student_pledge_opt_out_protection,progressive,"Proposed prohibiting schools from punishing or penalizing a student who refused to recite the Pledge of Allegiance.",high,reviewed,true,"The amendment is self-contained and unambiguously protects an individual student's freedom not to participate in the pledge."
76193,abortion,shifts_litigation_costs_to_supporting_legislators,progressive,"Proposed making legislators who voted for HB314 personally pay Alabama's attorney fees from litigation challenging the act's legality.",medium,reviewed,true,"HB314 was Alabama's 2019 abortion ban. The amendment is a fiscal-accountability provision on its face and a clear hostile amendment to the ban in context; it supports opposition to the restriction, though its mechanism was likely rhetorical."
76194,healthcare_medicaid,mandates_medicaid_eligibility_expansion,progressive,"Proposed requiring the Alabama Medicaid Agency to promulgate rules expanding Medicaid eligibility.",high,reviewed,true,"The operative sentence is complete and unambiguous. One model invented a conscience-protection contingency that does not appear in the amendment or HB314; that interpretation was rejected."
61687,public_education,removes_orr_budget_amendment_sections,indeterminate,"Proposed striking portions of the Orr floor amendment that would have deleted two passages from the education budget and replaced AMSTI language with a requirement to evaluate it under newly developed regional in-service-center accountability standards.",medium,reviewed,true,"The Figures fragment was reconstructed from amendment 61686 in the downloaded archive. It blocks identifiable education-budget revisions, but the underlying substituted budget language is needed to describe every restored provision or assign ideological valence."
74118,public_education,adds_student_pledge_opt_out_protection,progressive,"Proposed prohibiting schools from punishing or penalizing a student who refused to recite the Pledge of Allegiance.",high,reviewed,true,"The amendment is self-contained and duplicates the same student civil-liberties protection the candidate offered to HB339 that session."
75214,taxes_budget,adds_rental_transaction_reporting_and_enforcement,indeterminate,"Proposed requiring facilitators to report specified tangible-property rentals, notify lessors lacking evidence of the required rental license, and subject noncompliance to existing tax-administration penalties.",high,reviewed,true,"The text directly adds reporting, notice, and enforcement authority. It indicates tax and licensing compliance as a priority but does not support a simple ideological valence."
76233,public_education,broadens_school_epinephrine_device_definition,indeterminate,"Proposed allowing either a single-use epinephrine autoinjector or another FDA-approved public-use epinephrine system under the K-12 student self-administration law.",high,reviewed,true,"The amendment and HB32 description establish the school-health context and broaden permissible devices. Broader emergency-treatment access is clear, but the narrow technical change is not assigned a left-right valence."
76367,criminal_justice,adds_school_officer_training_and_arrest_limits,indeterminate,"Proposed requiring school resource officers to receive specialized youth training, limiting arrest powers to APOSTC-certified officers, and allowing otherwise qualified retired law-enforcement officers to serve.",high,reviewed,true,"The complete operative changes establish stronger youth-training and certification safeguards while also broadening eligibility to retirees. Those mixed directions make a single ideological code inappropriate."
77222,health_social_services,grants_state_agent_immunity_for_mental_health_detentions,indeterminate,"Proposed encouraging emergency detention of people considered mentally ill and dangerous for evaluation and treatment, treating participating officers and providers as state agents with statutory immunity while preserving existing medical-liability law.",high,reviewed,true,"The amendment directly states the detention policy and immunity framework. It combines treatment and public-safety aims with liability protection, so it is not reduced to a left-right code."
77240,infrastructure_energy,creates_free_local_toll_pass,indeterminate,"Proposed a free toll pass for permanent Mobile and Baldwin County residents for tolls authorized under the relevant state toll-road statute.",high,reviewed,true,"The amendment is self-contained and establishes categorical local toll relief. It indicates opposition to imposing the full toll on nearby residents, not a general ideological position on infrastructure finance."
77241,infrastructure_energy,creates_half_price_local_toll_pass,indeterminate,"Proposed a half-price toll pass for permanent Mobile and Baldwin County residents using the proposed I-10 bridge or Wallace Tunnel over the Mobile River.",high,reviewed,true,"This second amendment offered a narrower discount after the same candidate's free-pass proposal. Together they provide strong evidence that local toll relief was a priority."
88714,public_employee_benefits,extends_law_enforcement_subsistence_pay,progressive,"Proposed extending HB80's law-enforcement subsistence-pay provisions from Department of Revenue personnel to qualifying Department of Mental Health employees in good standing when the act took effect.",high,reviewed,true,"The bill description and repeated insertions establish a targeted expansion of public-employee compensation. It is coded progressive on the labor/public-benefit dimension, not as a general mental-health spending position."
92025,public_education,decentralizes_higher_education_construction_oversight,indeterminate,"Proposed transferring most state-college construction authority to institutional governing boards while retaining central oversight for K-12 and constitutionally governed institutions, requiring free electronic submissions and detailed annual K-12 project reports, and preserving tornado-safe-space standards.",high,reviewed,true,"This comprehensive amendment combines institutional autonomy, transparency, administrative modernization, and safety requirements. Those components are clear but do not share a single ideological direction."
100587,healthcare_conscience,substitutes_parental_consent_dnar_framework,conservative,"Proposed requiring parental or representative consent before a DNAR order for a minor, presuming resuscitation during disputes, permitting expedited judicial review, requiring disclosure of provider policies, and protecting compliant providers from liability.",high,reviewed,true,"The complete Simon's Law substitute prioritizes parental control and continued life-sustaining intervention in pediatric end-of-life decisions. That is a conventional conservative/pro-life direction, distinct from assisted-dying legislation."
76195,abortion,adds_vasectomy_criminalization_parity_amendment,progressive,"Proposed felony penalties for men obtaining or attempting to obtain vasectomies as a hostile parity amendment to HB314's criminal abortion ban.",medium,reviewed,true,"The literal text criminalizes vasectomy, but treating it as an affirmative policy preference would ignore its placement among the candidate's hostile amendments to HB314. It is coded as abortion-rights opposition to asymmetric reproductive criminalization, with medium confidence because rhetorical intent is contextual."
76451,criminal_justice,removes_sex_offender_statute_rewrite,indeterminate,"Proposed removing SB320's rewrite of the statutory sex-offense list and related citations while making narrower terminology changes elsewhere in the sexual-offenses bill.",medium,reviewed,true,"Pages 28-35 of the archived introduced bill show that the large deletion removes the proposed Section 15-20A-5 rewrite, not an unspecified notification provision. The amendment resists that rewrite, but its net punitive or reform direction cannot be established without a provision-by-provision comparison to then-current law."
80628,taxes_budget,exempts_mobile_from_occupational_tax_ban,indeterminate,"Proposed exempting Class 2 municipalities—Mobile—from HB147's prohibition on municipal occupational taxes not already in effect or authorized by local law.",high,reviewed,true,"The amendment and bill description together establish a Mobile fiscal-authority carveout. It preserves local taxing discretion but is not treated as a general preference for higher taxes."
105030,ethics_government,adds_legislative_minority_leaders_to_park_governance,progressive,"Proposed adding both legislative minority leaders or their designees to HB573's state-parks and historical-sites financing governance and increasing the relevant membership count from three to five.",high,reviewed,true,"The amendment expands formal minority-party representation; it does not direct money to minority leaders as one model incorrectly claimed. This is coded progressive on inclusive institutional governance, not on park spending."
109504,healthcare_medicaid,carves_out_erisa_plans_and_defines_specialty_drugs,indeterminate,"Proposed exempting ERISA-governed self-funded health plans from specified provisions of Alabama's pharmacy-benefit-manager law, limiting another provision to in-network entities, and expressly covering every CMS-eligible specialty-tier medication.",high,reviewed,true,"The amendment mixes a regulatory carveout with broader specialty-drug coverage language. Federal preemption may motivate the ERISA provision, so the text does not justify a simple ideological code."
112592,public_education,decentralizes_higher_education_construction_oversight,indeterminate,"Proposed transferring most state-college construction authority to institutional governing boards while retaining central oversight for K-12 and constitutionally governed institutions, requiring free electronic submissions and detailed annual K-12 project reports, and preserving tornado-safe-space standards.",high,reviewed,true,"This LegiScan amendment record contains the same complete instrument as amendment 92025 but is attributed separately in the source data. The policy content is independently clear; duplicate-document handling should be preserved in provenance rather than silently discarded."
113266,healthcare_conscience,exempts_healthcare_providers_from_vaccine_passport_ban,progressive,"Proposed excluding physicians, dentists, medical institutions, hospitals, and other defined health-care providers from SB267's restrictions on vaccine-status documentation.",high,reviewed,true,"The carveout is explicit and preserves provider/institutional discretion under a broader vaccine-passport ban. That runs in the progressive/public-health direction relative to the underlying restriction."
114109,public_education,decentralizes_higher_education_construction_oversight,indeterminate,"Proposed transferring most state-college construction authority to institutional governing boards while retaining central oversight for K-12 and constitutionally governed institutions, requiring free electronic submissions and detailed annual K-12 project reports, and preserving tornado-safe-space standards.",high,reviewed,true,"This is a third separately attributed LegiScan record for the same HB220 amendment instrument. The duplicated document is retained with explicit provenance so it is not mistaken for three independent policy acts."
115898,healthcare_conscience,exempts_healthcare_providers_from_vaccine_passport_ban,progressive,"Proposed excluding physicians, dentists, medical institutions, hospitals, and other defined health-care providers from SB267's restrictions on vaccine-status documentation.",high,reviewed,true,"This separately attributed record duplicates amendment 113266. Both models hallucinated wiretapping or fraud-investigation context; SB267 is the vaccine-passport bill, so those rationales were rejected."
116599,healthcare_conscience,substitutes_parental_consent_dnar_framework,conservative,"Proposed requiring parental or representative consent before a DNAR order for a minor, presuming resuscitation during disputes, permitting expedited judicial review, requiring disclosure of provider policies, and protecting compliant providers from liability.",high,reviewed,true,"This separately attributed LegiScan record duplicates the Simon's Law substitute in amendment 100587. The conservative/pro-life valence follows the instrument's presumption for resuscitation and parental control."
125584,public_education,extends_remote_meeting_authority_to_asu,indeterminate,"Proposed extending remote-meeting authority to Alabama State University's trustees, establishing special and emergency meeting procedures, treating remote participation as presence, and requiring Open Meetings Act compliance and simultaneous public access.",high,reviewed,true,"The complete amendment modernizes university governance while preserving notice and public-observation safeguards. It is a clear governance priority without a stable left-right valence."
137827,racial_civil_rights,adds_historically_accurate_teaching_safeguard,progressive,"Proposed providing that HB312's restrictions could not be construed to prohibit teaching topics or historical events in a historically accurate context.",high,reviewed,true,"HB312 was a divisive-concepts restriction. The amendment narrows its possible chilling effect on historically accurate instruction and therefore has a progressive direction relative to the underlying bill."
142406,labor_unions,adds_rural_unemployment_search_exception,progressive,"Proposed retaining SB224's three-employer weekly search rule only for claimants within 45 miles of a Career Center and reducing it to one prospective employer for claimants farther away.",high,reviewed,true,"The archived engrossed bill supplies the missing number: three employer contacts. The amendment directly eases benefit conditions for geographically isolated workers and is progressive on unemployment-benefit access."
142408,labor_unions,adds_rural_unemployment_search_exception,progressive,"Proposed retaining SB224's three-employer weekly search rule only for claimants within 45 miles of a municipality of at least 1,500 residents and reducing it to one prospective employer elsewhere.",high,reviewed,true,"This alternative rural-access formulation also eases unemployment-benefit conditions where employers are sparse. It is separate from the Career Center version and retained as its own proposal."
142599,rural_hunting,adds_agricultural_seed_container_tax_exemption,conservative,"Proposed exempting containers used exclusively to store, preserve, or prepare agricultural and horticultural seed for market from ad valorem taxation.",high,reviewed,true,"The amendment is self-contained targeted property-tax relief for agricultural infrastructure. It is coded conservative on tax burden and also records a distinct rural/agricultural priority."
203086,criminal_justice,substitutes_disability_abuse_protection_act,conservative,"Proposed new tiered crimes and penalties for intentional or reckless abuse, neglect, and financial exploitation of adults with disabilities, plus a seven-year limitations period for financial exploitation.",high,reviewed,true,"The comprehensive substitute clearly expands criminal liability to protect disabled adults. Its punitive enforcement direction is coded conservative, while the protected-population purpose is separately preserved in the summary rather than treated as ideologically exclusive."
205495,labor_unions,preserves_school_based_child_work_safeguard,progressive,"Proposed requiring suspension or revocation of employment for a 14- or 15-year-old whose school attendance or performance was found unsatisfactory by the school or home-school instructor, with departmental action upon notification.",high,reviewed,true,"HB102 eliminated the eligibility-to-work form. The amendment restores a school-performance safeguard within the new child-labor framework, a progressive worker/child-protection direction."
81740,healthcare_medicaid,adds_womens_health_medical_cannabis_conditions,progressive,"Proposed adding menopause and premenstrual syndrome as qualifying conditions under the medical-cannabis bill.",high,reviewed,true,"The insertion is self-contained and broadens regulated medical-cannabis access for women's health conditions, a progressive direction relative to the substitute."
89284,ethics_government,exempts_mobile_from_fireworks_local_preemption,indeterminate,"Proposed exempting Class 2 municipalities—Mobile—from SB55's prohibition on local ordinances governing the transportation, storage, retail sale, or possession of sparkling devices or fireworks novelties.",high,reviewed,true,"The archived SB55 text identifies the subsection one model misread as cultural merchandise. The amendment preserves Mobile's local regulatory authority; it does not establish a general pro- or anti-fireworks position."
92067,public_education,allows_electronic_school_board_discipline_hearings,indeterminate,"Proposed allowing school-board peer-review panels to meet electronically even when conducting a disciplinary hearing.",high,reviewed,true,"Deleting the exception from the complete SB170 sentence broadens electronic meeting authority. The change is administrative and does not itself remove the hearing or due-process rights."
92068,public_education,removes_school_board_candidate_prerequisites,indeterminate,"Proposed deleting proposed requirements that prospective county and city school-board members attend meetings, complete approved pre-service training, and agree to the BEST Act code, while revising the prior-removal disqualification and related vacancy exceptions.",medium,reviewed,true,"The deletions were reconstructed from pages 18-20 of archived SB170. They reduce state gatekeeping for board service but also remove training and conduct safeguards, so the ideological valence remains indeterminate."
107097,public_education,allows_electronic_school_board_discipline_hearings,indeterminate,"Proposed allowing school-board peer-review panels to meet electronically even when conducting a disciplinary hearing.",high,reviewed,true,"This separately attributed record duplicates amendment 92067. Both model runs hallucinated COVID-vaccine subject matter; the archived SB170 establishes that the provision concerns electronic peer-review hearings for school-board discipline."
94875,racial_civil_rights,adds_black_caucus_nominated_gaming_members,progressive,"Proposed increasing specified Alabama Gaming Commission appointments and requiring the governor, lieutenant governor, and House speaker each to select one appointee from a three-person slate proposed by the Alabama Black Legislative Caucus.",high,reviewed,true,"The complete amendment directly creates formal Black-caucus input and representation in gaming governance, a progressive racial-representation position."
107098,public_education,removes_school_board_candidate_prerequisites,indeterminate,"Proposed deleting proposed requirements that prospective county and city school-board members attend meetings, complete approved pre-service training, and agree to the BEST Act code, while revising the prior-removal disqualification and related vacancy exceptions.",medium,reviewed,true,"This separately attributed record duplicates amendment 92068. The Ministral rationale again invented COVID-vaccine content; the archived SB170 pages establish school-board eligibility and training as the actual subject."
94876,ethics_government,conditions_gaming_amendment_on_enabling_laws,indeterminate,"Proposed voiding the gaming constitutional amendment, regardless of the referendum result, unless the Legislature enacted all required implementing legislation before the ratification vote.",high,reviewed,true,"The condition is explicit and reflects implementation sequencing and voter clarity. It is a governance safeguard within the gaming measure, not evidence for or against gambling itself."
102541,criminal_justice,replaces_open_ended_no_bail_power_with_fixed_list,mixed,"Proposed replacing the Legislature's open-ended authority to enumerate no-bail offenses with a constitutional list of specified violent Class A crimes, including murder, first-degree rape, trafficking, robbery, and aggravated child abuse.",high,reviewed,true,"The amendment authorizes bail denial for a broad serious-crime list, a conservative public-safety direction, while preventing later expansion through ordinary general law, a constraining civil-liberties safeguard. The net valence is therefore mixed."
102568,criminal_justice,removes_first_degree_assault_from_no_bail_list,progressive,"Proposed deleting first-degree assault from HB130's list of charges for which a judge could deny bail after a clear-and-convincing-evidence detention hearing.",high,reviewed,true,"The amendment fragment is resolved by page 3 of the archived introduced Aniah's Law bill: paragraph b is first-degree assault. Removing it narrows pretrial detention and is progressive on criminal-justice liberty."
50790,racial_civil_rights,adds_emergency_monument_relocation_exception,indeterminate,"Proposed allowing temporary relocation or protection of a covered public monument for emergency repairs or construction, with restoration afterward and a waiver required for projects expected to exceed 120 days.",high,reviewed,true,"The amendment narrows the Memorial Preservation Act with a practical emergency exception but preserves mandatory restoration. It is not evidence of a general position on Confederate monument removal."
61645,public_education,adds_community_college_voice_and_expert_path,indeterminate,"Proposed adding the Alabama Community College System chancellor or designee to the Alabama Cyber Engineering School board and allowing the board to recognize a member as an expert in lieu of a specified degree.",high,reviewed,true,"The two discrete additions broaden postsecondary representation and qualification flexibility in school governance without a stable ideological direction."
61646,public_education,adds_south_alabama_president_to_cyber_school_board,indeterminate,"Proposed adding the University of South Alabama president or designee to the Alabama Cyber Engineering School governing board.",high,reviewed,true,"The self-contained appointment provision indicates a regional higher-education representation priority, not a left-right position."
75160,abortion,adds_rape_and_incest_exceptions,progressive,"Proposed exempting abortions terminating pregnancies resulting from rape or incest from HB314's criminal abortion prohibition.",high,reviewed,true,"The amendment directly narrows the abortion ban and is unambiguously progressive relative to the underlying bill."
76455,taxes_budget,redirects_mobile_sales_tax_to_circuit_court,indeterminate,"Proposed temporarily redirecting $500,000 each from Mobile city and county simplified-sellers-use-tax proceeds and $200,000 from other Mobile County municipalities to the Thirteenth Judicial Circuit through fiscal 2024.",high,reviewed,true,"The amendment specifies a local court-funding allocation and sunset. It demonstrates judicial-system funding priority but no simple ideological direction."
76893,public_education,adds_bible_course_academic_and_opt_out_safeguards,progressive,"Proposed requiring public-school Bible electives to be objective and as academically rigorous as other electives, limiting related displays to the course duration, and ensuring students could meet every requirement without taking the course.",high,reviewed,true,"The safeguards preserve voluntariness, academic standards, and church-state neutrality within the elective-course bill, a progressive direction relative to an unrestricted program."
79902,health_social_services,extends_child_vehicle_smoking_ban_to_vaping,progressive,"Proposed extending HB46's prohibition on smoking tobacco products in a vehicle with a minor present to vaping and defining vaping by the existing electronic-nicotine-delivery-system statute.",high,reviewed,true,"The amendment directly broadens a child public-health protection and has a progressive regulatory direction."
105741,lgbtq_cultural,limits_transgender_sports_ban_to_in_state_events,progressive,"Proposed limiting HB391's restriction on mixed-biological-sex school athletic competition to events and athletic associations within Alabama.",medium,reviewed,true,"The amendment narrows the geographic reach of the transgender-athletics restriction but does not oppose its in-state application. It is progressive only relative to the broader bill and therefore receives medium confidence."
105970,racial_civil_rights,requires_diverse_psychology_wellness_committee,progressive,"Proposed requiring Alabama residency and racial, gender, geographic, urban-rural, and economic diversity in the Psychology Professional Wellness Committee's membership.",high,reviewed,true,"The membership standard expressly advances representative diversity and is progressive on inclusive governance."
128558,infrastructure_energy,technical_numbering_deletion,indeterminate,"Proposed striking only the subdivision marker '(3)' from HB97.",low,reviewed,false,"The archived introduced bill does not permit a reliable substantive effect to be reconstructed from this isolated numbering deletion. It is treated as technical and excluded from position evidence."
131138,public_education,retains_earlier_third_grade_reading_promotion_start,conservative,"Proposed retaining the 2021-22 start, rather than delaying until 2022-23, for the Literacy Act requirement that third graders demonstrate sufficient reading skills for promotion.",high,reviewed,true,"The archived HB220 provision resolves the date fragment. Accelerating the promotion gate is a conservative education-accountability direction, though the broader bill also provides multiple assessments and interventions."
135731,health_social_services,technical_cross_reference_renumbering,indeterminate,"Proposed only coordinated section and subdivision cross-reference renumbering in the elder-abuse-registry bill.",high,reviewed,false,"Every edit shifts a numeric cross-reference after other text changes; no independent policy effect is present, so the reviewed instrument is excluded from position evidence."
136162,ethics_government,substitutes_legislators_for_prosecutors_in_privacy_protection,mixed,"Proposed adding legislators to SB204's personal-information confidentiality protections while deleting prosecutors from the covered group.",high,reviewed,true,"The amendment expands privacy protection for legislators but removes it from prosecutors. Those opposing coverage changes produce a mixed institutional direction."
140462,public_education,revises_numeracy_assessment_reporting_and_oversight,mixed,"Proposed broadening recognized mathematics assessments, allowing comprehensive assessment reports to substitute for separate parent reports, lowering two numerical thresholds from 900 to 800, and adding House and Senate minority leaders to multiple Numeracy Act oversight and reporting provisions.",medium,reviewed,true,"The amendment clearly prioritizes parent information and bipartisan oversight, but the meaning of the two lowered thresholds depends on the committee substitute. The combined direction is therefore mixed with medium confidence."
199959,criminal_justice,reopens_boy_scout_bankruptcy_child_abuse_claims,progressive,"Proposed retroactively reopening otherwise time-barred civil claims for childhood sex offenses solely against the bankruptcy estate of the congressionally chartered organization that entered bankruptcy on February 18, 2020, through 2026.",high,reviewed,true,"The complete Scouts' Honor substitute creates a narrow remedy for abuse survivors against the Boy Scouts bankruptcy estate while protecting other entities from revived claims. It is progressive on victim access to civil remedies."
