anonymous_case_id,dimension,reviewer_code,reviewer_confidence,reviewer_note,person_id,candidate,election_cycle,current_numeric_code,code_agrees
CASE-9C2E2CFC97,overall_ideological_valence,2,high,Pre-election ideal point places the candidate at the strongly conservative edge of the reference caucus.,ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,2.0,True
CASE-B95512F444,economic_ideology,-1,high,Direct support for immediate school funding is progressive public investment despite a regressive sales-tax instrument.,ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,-1.0,True
CASE-B95512F444,overall_ideological_valence,1,high,Pre-election ideal point places the candidate modestly on the conservative side of the reference caucus.,ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,1.0,True
CASE-C8D7F161AA,labor_position,-1,medium,Education-union campaign support indicates alignment but supplies no direct policy evidence.,ALPERSON-BEDDINGFIELD,David Beddingfield,2014,-1.0,True
CASE-D0D05CB38C,guns_position,-1,high,Sponsorship of a child-access safe-storage penalty is direct but narrowly scoped gun-regulation evidence.,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,-1.0,True
CASE-D0D05CB38C,overall_ideological_valence,-1,high,Pre-election ideal point places the candidate on the progressive side of the reference caucus.,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,-1.0,True
CASE-DDE96BA4BB,labor_position,-2,high,Prior union employment plus corroboration and a long education-sector record establish strong labor alignment.,ALPERSON-REX-CHEATHAM,Rex Cheatham,2014,-2.0,True
CASE-E118DC28E8,economic_ideology,-2,high,Direct advocacy spans pay increases staffing program funding classroom resources and public investment over deregulation.,ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,-1.0,False
CASE-E118DC28E8,guns_position,1,high,Direct sponsorship supports armed school security but is too narrow for a stronger gun-rights code.,ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,1.0,True
CASE-E84040A89A,overall_ideological_valence,1,high,Pre-election ideal point places the candidate clearly but not extremely on the conservative side of the reference caucus.,ALPERSON-ALAN-HARPER,Alan Harper,2010,1.0,True
CASE-F33A7169AB,overall_ideological_valence,1,medium,A valid pre-election legislative ideal point places the candidate modestly on the conservative side though from prior-chamber service.,ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,1.0,True
CASE-F6144B0512,overall_ideological_valence,2,high,Pre-election ideal point places the candidate at the strongly conservative edge of the reference caucus.,ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,2.0,True
CASE-FC84CBAA62,economic_ideology,-1,high,Direct support for Medicaid expansion and education-funded public services indicates conventional progressive investment.,ALPERSON-LINDA-MEIGS,Linda Meigs,2018,-1.0,True
CASE-7187CE22B3,economic_ideology,-1,high,Public services wage growth and environmental protection.,ALPERSON-FELICIA-STEWART,Felicia Stewart,2018,-1.0,True
CASE-7187CE22B3,social_ideology,-2,high,Explicit rejection of conservative culture-war priorities.,ALPERSON-FELICIA-STEWART,Felicia Stewart,2018,-2.0,True
CASE-29D86F0B63,overall_ideological_valence,1,high,Pre-election roll-call position near the conservative edge of the caucus.,ALPERSON-CRAIG-FORD,Craig Ford,2014,1.0,True
CASE-95FD3A196D,economic_ideology,-2,high,Universal health-care language and opposition to corporate tax privileges.,ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,2014,-2.0,True
CASE-602E4C7D32,economic_ideology,-1,medium,Education Trust Fund investment is left of the caucus midpoint economically.,ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,-1.0,True
CASE-602E4C7D32,labor_position,-1,medium,AEA-aligned oversight measure is suggestive but not a comprehensive labor record.,ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,-1.0,True
CASE-602E4C7D32,overall_ideological_valence,0,high,Common-space score is near the caucus median.,ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,0.0,True
CASE-C9A0B1D472,economic_ideology,-1,high,Public schools local business and social-service investment.,ALPERSON-HENRY-A-WHITE,Henry A. White,2014,-1.0,True
CASE-C9A0B1D472,overall_ideological_valence,1,high,Pre-election roll-call position is relatively conservative within the caucus.,ALPERSON-HENRY-A-WHITE,Henry A. White,2014,1.0,True
CASE-E2D0093589,economic_ideology,-1,medium,Public education and industrial job preservation rather than fiscal conservatism.,ALPERSON-LARRY-MEANS,Larry Means,2014,-1.0,True
CASE-E2D0093589,guns_position,2,high,NRA score and stand-your-ground sponsorship give concordant evidence.,ALPERSON-LARRY-MEANS,Larry Means,2014,2.0,True
CASE-E2D0093589,labor_position,-1,medium,Job preservation is labor-friendly but not direct union-position evidence.,ALPERSON-LARRY-MEANS,Larry Means,2014,-1.0,True
CASE-FB2339B984,abortion_position,2,high,Explicit contemporaneous pro-life description.,ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2.0,True
CASE-FB2339B984,economic_ideology,-1,high,Public education retirement and opposition to charter funding shifts.,ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,-1.0,True
CASE-FB2339B984,guns_position,2,high,Explicit contemporaneous pro-Second Amendment description.,ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2.0,True
CASE-FB2339B984,social_ideology,2,high,Explicit conservative Democrat and pro-family description.,ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2.0,True
CASE-95BFD68A83,guns_position,2,high,Sponsorship of a firearms-protection measure is direct behavioral evidence.,ALPERSON-MARC-KEAHEY,Marc Keahey,2010,2.0,True
CASE-CF6425FDCA,overall_ideological_valence,-1,high,Pre-election roll-call position is on the more progressive side of the caucus.,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,-1.0,True
CASE-1BB9FDBAC6,economic_ideology,-1,medium,Public education and broad health-care access emphasis.,ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2018,-1.0,True
