election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status,normalized_option,models_run,model_core_agreement,model_agreed_dimension,model_agreed_direction,model_agreed_scorable,qwen_suggested_scorable,adjudication_status
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",a) Alcohol taxes,tax_alcohol,economic_ideology,-1.0,medium,ordinal,rule_mapped,alcohol taxes,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Cigarette taxes,tax_cigarette,economic_ideology,-1.0,medium,ordinal,rule_mapped,cigarette taxes,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",c) Corporate taxes,tax_corporate,economic_ideology,-1.0,high,ordinal,rule_mapped,corporate taxes,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Gas/Oil taxes,,,,,,unmapped,gas/oil taxes,2.0,False,,,,False,model_disagreement_requires_review
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Property taxes,tax_property,economic_ideology,-1.0,medium,ordinal,rule_mapped,property taxes,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Sales taxes,tax_sales,economic_ideology,-1.0,medium,ordinal,rule_mapped,sales taxes,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",g) Income taxes (low-income families),tax_income_low_family,economic_ideology,-1.0,high,ordinal,rule_mapped,income taxes (low-income families),,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",h) Income taxes (mid-income families),,,,,,unmapped,income taxes (mid-income families),2.0,True,economic_ideology,-1.0,True,True,model_agreement_requires_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",i) Income taxes (high-income families),tax_income_high_family,economic_ideology,-1.0,high,ordinal,rule_mapped,income taxes (high-income families),,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",j) Other or expanded principles:,,,,,,unmapped,other or expanded principles:,2.0,False,,,,False,model_disagreement_requires_review
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.","a) Tapping into Alabama's ""rainy day"" fund",budget_rainy_day,position_only,,high,binary,position_only,"tapping into alabama's ""rainy day"" fund",,,,,,,accepted_position_only
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Increasing tuition rates at public universities,economic_public_university_tuition_increase,economic_ideology,1.0,medium,binary,rule_mapped,increasing tuition rates at public universities,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",c) Reducing or eliminating public worker collective bargaining,labor_collective_bargaining,labor_position,-1.0,high,binary,rule_mapped,reducing or eliminating public worker collective bargaining,,,,,,,accepted_deterministic_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Reducing state employee salaries AND/OR pensions,,,,,,unmapped,reducing state employee salaries and/or pensions,2.0,True,government_reform_position,-1.0,True,True,model_agreement_requires_rule
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Instituting mandatory furloughs AND/OR layoffs for state employees,,,,,,unmapped,instituting mandatory furloughs and/or layoffs for state employees,2.0,False,,,,False,model_disagreement_requires_review
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Reducing benefits for Medicaid recipients,economic_medicaid_benefit_reduction,economic_ideology,1.0,high,binary,rule_mapped,reducing benefits for medicaid recipients,,,,,,,accepted_deterministic_rule
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,1) Individual,campaign_contribution_limits_individual,position_only,,high,binary,position_only,individual,,,,,,,accepted_position_only
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,2) Political Action Committee,,,,,,unmapped,political action committee,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,3) Corporate,campaign_contribution_limits_corporate,position_only,,high,binary,position_only,corporate,,,,,,,accepted_position_only
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,4) Political Party,,,,,,unmapped,political party,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,b) Should candidates for state office be encouraged to meet voluntary spending limits?,,,,,,unmapped,should candidates for state office be encouraged to meet voluntary spending limits?,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,c) Do you support requiring full and timely disclosure of campaign finance information?,campaign_finance_disclosure,position_only,,high,binary,position_only,do you support requiring full and timely disclosure of campaign finance information?,,,,,,,accepted_position_only
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,d) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,,,,,,unmapped,do you support the use of an independent and/or bipartisan commission for redistricting?,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,e) Do you support requiring a government-issued photo identification in order to vote at the polls?,elections_photo_id,government_reform_position,1.0,high,binary,rule_mapped,do you support requiring a government-issued photo identification in order to vote at the polls?,,,,,,,accepted_deterministic_rule
2014.0,Crime & Public Safety Issues:,,a) Do you support capital punishment for certain crimes?,crime_death_penalty,criminal_justice_position,1.0,high,binary,rule_mapped,do you support capital punishment for certain crimes?,,,,,,,accepted_deterministic_rule
2014.0,Crime & Public Safety Issues:,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",,,,,,unmapped,"do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",2.0,False,,,,True,model_disagreement_requires_review
2014.0,Crime & Public Safety Issues:,,c) Do you support legalizing the possession of small amounts of marijuana?,crime_marijuana_legalization,criminal_justice_position,-1.0,high,binary,rule_mapped,do you support legalizing the possession of small amounts of marijuana?,,,,,,,accepted_deterministic_rule
2014.0,Crime & Public Safety Issues:,,d) Should a minor accused of a violent crime be prosecuted as an adult?,,,,,,unmapped,should a minor accused of a violent crime be prosecuted as an adult?,2.0,True,criminal_justice_position,-1.0,True,True,model_agreement_requires_rule
2014.0,Crime & Public Safety Issues:,,e) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,,,,,,unmapped,should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,2.0,False,,,,True,model_disagreement_requires_review
2014.0,Crime & Public Safety Issues:,,f) Do you support the enforcement of federal immigration laws by state and local police?,,,,,,unmapped,do you support the enforcement of federal immigration laws by state and local police?,2.0,False,,,,True,model_disagreement_requires_review
2014.0,Economic Issues:,,a) Do you support reducing government regulations on the private sector?,economic_reduce_regulation,economic_ideology,1.0,high,binary,rule_mapped,do you support reducing government regulations on the private sector?,,,,,,,accepted_deterministic_rule
2014.0,Economic Issues:,,b) Do you support increased state funding for job-training programs that re-train displaced workers?,economic_job_training,economic_ideology,-1.0,high,binary,rule_mapped,do you support increased state funding for job-training programs that re-train displaced workers?,,,,,,,accepted_deterministic_rule
2014.0,Economic Issues:,,c) Do you support expanding access to unemployment benefits?,economic_unemployment_benefits,economic_ideology,-1.0,high,binary,rule_mapped,do you support expanding access to unemployment benefits?,,,,,,,accepted_deterministic_rule
2014.0,Economic Issues:,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,,,,,,unmapped,do you support providing financial incentives to the private sector for the purpose of job creation?,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Economic Issues:,,e) Do you support government spending as a means of promoting economic growth?,economic_government_spending_growth,economic_ideology,-1.0,high,binary,rule_mapped,do you support government spending as a means of promoting economic growth?,,,,,,,accepted_deterministic_rule
2014.0,Economic Issues:,,f) Do you support providing direct financial assistance to homeowners facing foreclosure?,economic_homeowner_assistance,economic_ideology,-1.0,high,binary,rule_mapped,do you support providing direct financial assistance to homeowners facing foreclosure?,,,,,,,accepted_deterministic_rule
2014.0,Economic Issues:,,g) Do you support an increase of the minimum wage?,labor_minimum_wage,labor_position,-1.0,high,binary,rule_mapped,do you support an increase of the minimum wage?,,,,,,,accepted_deterministic_rule
2014.0,Education Issues:,,a) Do you support the national Common Core State Standards initiative?,,,,,,unmapped,do you support the national common core state standards initiative?,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Education Issues:,,b) Do you support a merit pay system for teachers?,education_teacher_merit_pay,education_position,1.0,medium,binary,rule_mapped,do you support a merit pay system for teachers?,2.0,True,education_position,-1.0,True,True,accepted_deterministic_rule
2014.0,Education Issues:,,c) Is the tenure process for public school teachers producing effective teachers?,,,,,,unmapped,is the tenure process for public school teachers producing effective teachers?,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Education Issues:,,d) Should parents be allowed to use vouchers to send their children to any school?,education_vouchers,education_position,1.0,medium,binary,rule_mapped,should parents be allowed to use vouchers to send their children to any school?,,,,,,,accepted_deterministic_rule
2014.0,Education Issues:,,e) Do you support state funding for charter schools?,education_charter_schools,education_position,1.0,medium,binary,rule_mapped,do you support state funding for charter schools?,,,,,,,accepted_deterministic_rule
2014.0,Education Issues:,,f) Do you support the state government providing college students with financial aid?,education_student_financial_aid,education_position,-1.0,high,binary,rule_mapped,do you support the state government providing college students with financial aid?,2.0,True,education_position,-1.0,True,True,accepted_deterministic_rule
2014.0,Education Issues:,,g) Should illegal immigrants who graduate from Alabama high schools be eligible for in-state tuition at public universities?,immigration_instate_tuition,immigration_position,-1.0,high,binary,rule_mapped,should illegal immigrants who graduate from alabama high schools be eligible for in-state tuition at public universities?,2.0,True,education_position,-1.0,True,True,accepted_deterministic_rule
2014.0,Environment & Energy Issues:,,a) Do you support state funding for the development of alternative energy?,environment_alternative_energy_funding,environment_position,-1.0,high,binary,rule_mapped,do you support state funding for the development of alternative energy?,2.0,True,environment_position,-1.0,True,True,accepted_deterministic_rule
2014.0,Environment & Energy Issues:,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",,,,,,unmapped,"do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",2.0,False,,,,True,model_disagreement_requires_review
2014.0,Environment & Energy Issues:,,c) Do you support state funding for improvements to Alabama's energy infrastructure?,,,,,,unmapped,do you support state funding for improvements to alabama's energy infrastructure?,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Environment & Energy Issues:,,d) Do you support state funding for open space preservation?,environment_open_space_funding,environment_position,-1.0,high,binary,rule_mapped,do you support state funding for open space preservation?,,,,,,,accepted_deterministic_rule
2014.0,Environment & Energy Issues:,,e) Do you support government regulations of greenhouse gas emissions?,environment_emissions_regulation,environment_position,-1.0,high,binary,rule_mapped,do you support government regulations of greenhouse gas emissions?,,,,,,,accepted_deterministic_rule
2014.0,Environment & Energy Issues:,,f) Other or expanded principles:,,,,,,unmapped,other or expanded principles:,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Gun Issues:,,a) Do you support restrictions on the purchase and possession of guns?,guns_restrictions,guns_position,-1.0,high,binary,rule_mapped,do you support restrictions on the purchase and possession of guns?,,,,,,,accepted_deterministic_rule
2014.0,Gun Issues:,,b) Should background checks be required on gun sales between private citizens at gun shows?,guns_background_checks,guns_position,-1.0,high,binary,rule_mapped,should background checks be required on gun sales between private citizens at gun shows?,,,,,,,accepted_deterministic_rule
2014.0,Gun Issues:,,c) Should citizens be allowed to carry concealed guns?,,,,,,unmapped,should citizens be allowed to carry concealed guns?,2.0,True,guns_position,-1.0,True,True,model_agreement_requires_rule
2014.0,Gun Issues:,,d) Should a license be required for gun possession?,guns_license,guns_position,-1.0,high,binary,rule_mapped,should a license be required for gun possession?,,,,,,,accepted_deterministic_rule
2014.0,Health Issues:,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",,,,,,unmapped,"do you support a universally-accessible, publicly-administered health insurance option?",2.0,False,,,,True,model_disagreement_requires_review
2014.0,Health Issues:,,b) Do you support expanding access to health care through commercial health insurance reform?,,,,,,unmapped,do you support expanding access to health care through commercial health insurance reform?,2.0,False,,,,True,model_disagreement_requires_review
2014.0,Health Issues:,,c) Do you support interstate health insurance compacts?,,,,,,unmapped,do you support interstate health insurance compacts?,2.0,False,,,,True,model_disagreement_requires_review
2014.0,Health Issues:,,d) Do you support Medicaid expansion under the Affordable Care Act?,,,,,,unmapped,do you support medicaid expansion under the affordable care act?,2.0,True,healthcare_position,-1.0,True,True,model_agreement_requires_rule
2014.0,Health Issues:,,e) Do you support requiring individuals to purchase health care insurance?,,,,,,unmapped,do you support requiring individuals to purchase health care insurance?,2.0,False,,,,True,model_disagreement_requires_review
2014.0,Health Issues:,,f) Do you support monetary limits on damages that can be collected in malpractice lawsuits?,economic_tort_damage_limits,economic_ideology,1.0,high,binary,rule_mapped,do you support monetary limits on damages that can be collected in malpractice lawsuits?,,,,,,,accepted_deterministic_rule
2014.0,Health Issues:,,g) Do you support allowing doctors to prescribe marijuana to their patients for medicinal purposes?,health_medical_marijuana,healthcare_position,-1.0,high,binary,rule_mapped,do you support allowing doctors to prescribe marijuana to their patients for medicinal purposes?,2.0,True,healthcare_position,-1.0,True,True,accepted_deterministic_rule
2014.0,Health Issues:,,h) Other or expanded principles:,,,,,,unmapped,other or expanded principles:,2.0,False,,,,False,model_disagreement_requires_review
2014.0,Social Issues:,,a) Do you support same-sex marriage?,social_same_sex_marriage,social_ideology,-1.0,high,binary,rule_mapped,do you support same-sex marriage?,,,,,,,accepted_deterministic_rule
2014.0,Social Issues:,,b) Should same-sex couples be allowed to form civil unions?,social_same_sex_marriage,social_ideology,-1.0,high,binary,rule_mapped,should same-sex couples be allowed to form civil unions?,,,,,,,accepted_deterministic_rule
2014.0,Social Issues:,,c) Do you support the inclusion of sexual orientation in Alabama's anti-discrimination laws?,social_sexual_orientation_inclusion,social_ideology,-1.0,high,binary,rule_mapped,do you support the inclusion of sexual orientation in alabama's anti-discrimination laws?,2.0,True,social_ideology,-1.0,True,True,accepted_deterministic_rule
2014.0,Social Issues:,,d) Do you support the inclusion of gender identity in Alabama's anti-discrimination laws?,social_gender_identity_inclusion,social_ideology,-1.0,high,binary,rule_mapped,do you support the inclusion of gender identity in alabama's anti-discrimination laws?,2.0,True,social_ideology,-1.0,True,True,accepted_deterministic_rule
2014.0,Social Issues:,,e) Other or expanded principles:,,,,,,unmapped,other or expanded principles:,2.0,False,,,,False,model_disagreement_requires_review
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,a) Abortions should always be illegal.,abortion_always_illegal,abortion_position,1.0,high,binary,rule_mapped,abortions should always be illegal.,,,,,,,accepted_deterministic_rule
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,b) Abortions should always be legally available.,abortion_always_legal,abortion_position,-1.0,high,binary,rule_mapped,abortions should always be legally available.,,,,,,,accepted_deterministic_rule
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,c) Abortions should be legal only within the first trimester of pregnancy.,abortion_first_trimester_legality,abortion_position,-1.0,medium,binary,rule_mapped,abortions should be legal only within the first trimester of pregnancy.,,,,,,,accepted_deterministic_rule
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,d) Abortions should be legal when the pregnancy resulted from incest or rape.,abortion_rape_incest_exception,abortion_position,-1.0,medium,binary,rule_mapped,abortions should be legal when the pregnancy resulted from incest or rape.,,,,,,,accepted_deterministic_rule
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,e) Abortions should be legal when the life of the woman is endangered.,abortion_life_exception,abortion_position,-1.0,medium,binary,rule_mapped,abortions should be legal when the life of the woman is endangered.,,,,,,,accepted_deterministic_rule
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,f) Eliminate public funding for abortions and public funding of organizations that advocate or perform abortions.,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped,eliminate public funding for abortions and public funding of organizations that advocate or perform abortions.,,,,,,,accepted_deterministic_rule
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,g) Other or expanded principles,open_ended_other,non_scorable,,high,,non_scorable,other or expanded principles,2.0,False,,,,False,accepted_non_scorable
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,a) Education (Higher),spending_higher_education,education_position,-1.0,high,ordinal,rule_mapped,education (higher),,,,,,,accepted_deterministic_rule
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,b) Education (K-12),spending_k12_education,education_position,-1.0,high,ordinal,rule_mapped,education (k-12),,,,,,,accepted_deterministic_rule
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,c) Environment,spending_environment,environment_position,-1.0,high,ordinal,rule_mapped,environment,,,,,,,accepted_deterministic_rule
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,d) Health care,spending_healthcare,healthcare_position,-1.0,high,ordinal,rule_mapped,health care,,,,,,,accepted_deterministic_rule
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,e) Law enforcement,spending_law_enforcement,criminal_justice_position,1.0,medium,ordinal,rule_mapped,law enforcement,2.0,False,,,,False,accepted_deterministic_rule
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,f) Transportation and Highway infrastructure,transportation_spending,position_only,,high,ordinal,position_only,transportation and highway infrastructure,,,,,,,accepted_position_only
