item_id,election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status,candidate_count,selected_response_count,priority
240A3DEBB5E19068,2010.0,Environment and Energy Issues,,c) Do you support providing financial incentives to farms that produce biofuel crops?,,,,,,unmapped,24,22,22024
73B01E827183D945,2010.0,Health Issues,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",,,,,,unmapped,24,22,22024
3DA97F0B02E4DC24,2010.0,Health Issues,,b) Do you support expanding access to health care through commercial health insurance reform?,,,,,,unmapped,24,22,22024
D64CB7C5735D1E29,2010.0,Health Issues,,d) Should individuals be required to purchase health care insurance?,,,,,,unmapped,24,22,22024
EE940FD7E073039E,2006.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,,,,,,unmapped,42,21,21042
C6146786EAB5246B,2010.0,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,c) Issuing the early release of certain non-violent offenders,,,,,,unmapped,24,21,21024
ABD98F6CFAAD0F64,2010.0,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,e) Instituting mandatory furloughs and layoffs for state employees,,,,,,unmapped,24,21,21024
E6CA6DF01B0ED42F,2010.0,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,g) Should current elected officials be prohibited from holding additional state jobs?,,,,,,unmapped,24,21,21024
C617F9A1A2028B10,2010.0,Crime and Public Safety Issues,,e) Should a minor accused of a violent crime be prosecuted as an adult?,,,,,,unmapped,24,21,21024
A8F6D12F423922AC,2010.0,Education Issues,,a) Do you support national education standards?,,,,,,unmapped,24,21,21024
42E2FCFC29865651,2010.0,Health Issues,,c) Do you support interstate health insurance compacts?,,,,,,unmapped,24,21,21024
94C59BA077D16DD8,1998.0,Abortion,Indicate which principles you support (if any) concerning abortion.,"h) Support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",,,,,,unmapped,74,20,20074
048B1D553F2D886C,1998.0,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,a) Require the use of cleaner burning fuels in order to prevent pollution.,,,,,,unmapped,74,20,20074
5A8067FCF3FB8693,2006.0,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,e) Support funding for open space preservation.,,,,,,unmapped,42,20,20042
6F0ECB8CB25624E9,2006.0,Health Issues,Indicate which principles you support (if any) regarding health.,c) Limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,,,,,,unmapped,42,20,20042
C86819A53DFA211D,2010.0,Environment and Energy Issues,,d) Do you support state funding for improvements to Alabama's energy infrastructure?,,,,,,unmapped,24,20,20024
C4D09677DF2CA17B,1998.0,Crime,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,,,,,,unmapped,74,19,19074
14CE4DFD592EB1A0,2018.0,Campaign Finance & Government Reform Issues:,,a) Do you support any limits on campaign contributions to state candidates?,,,,,,unmapped,20,19,19020
7CDCC8E5444C223B,2018.0,Campaign Finance & Government Reform Issues:,,b) Do you support the regulation of indirect campaign contributions from corporations and unions?,,,,,,unmapped,20,19,19020
AFB508986DA8B032,2018.0,Education Issues:,,d) Do you support increasing funding for the state education budget?,,,,,,unmapped,20,19,19020
3C429DB9955B5D59,2018.0,Social Issues:,,c) Do you support greater efforts by Alabama state government in closing the pay gap between men and women?,,,,,,unmapped,20,19,19020
3F07FEB9BBAD8E86,1998.0,Welfare,Indicate which principles you support (if any) regarding welfare.,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",,,,,,unmapped,74,18,18074
C30277DB6D7D1B9A,2018.0,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,b) Instituting mandatory furloughs AND/OR layoffs for state employees?,,,,,,unmapped,20,18,18020
5CC26182D193FD54,2018.0,Campaign Finance & Government Reform Issues:,,c) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,,,,,,unmapped,20,18,18020
8061F02E9F46501A,2018.0,Health Issues:,,b) Do you support Medicaid expansion through Alabama's health care programs?,,,,,,unmapped,20,18,18020
9504720C8F32B19B,2002.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,g) Redirect welfare funding to faith-based and community-based private organizations.,,,,,,unmapped,62,17,17062
0133345E135C7C4D,2018.0,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,a) Reducing state employee salaries AND/OR pensions?,,,,,,unmapped,20,17,17020
EA53D4389768C5A5,1998.0,Welfare,Indicate which principles you support (if any) regarding welfare.,i) Eliminate government-funded welfare programs.,,,,,,unmapped,74,16,16074
884A7A9EE4AA5825,2018.0,Crime & Public Safety Issues:,,d) Do you support the enforcement of federal immigration laws by state and local police?,,,,,,unmapped,20,16,16020
172CB451AA495548,2018.0,Education Issues:,,a) Do you support adopting federal education standards in Alabama?,,,,,,unmapped,20,16,16020
78F0DB7841105EA9,2018.0,Health Issues:,,c) Do you support requiring individuals to purchase health care insurance?,,,,,,unmapped,20,16,16020
D9D414FAFD11B4B1,2002.0,Educational Issues,Indicate which principles you support (if any) regarding education.,j) Increase state funding to expand Head Start programs.,,,,,,unmapped,62,15,15062
9A23133BCC70D168,2002.0,Environmental and Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,"b) Use state funds to clean up former industrial and commercial sites that are contaminated, unused or abandoned.",,,,,,unmapped,62,15,15062
BB6CCD7E99D9EDD5,2002.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,f) Eliminate government-funded welfare programs.,,,,,,unmapped,62,15,15062
3F9742B8C271741B,2006.0,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",,,,,,unmapped,42,15,15042
C814C698B9ECF47B,2006.0,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,,,,,,unmapped,42,15,15042
0FF0E4EAD00D1337,2006.0,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,f) Enact environmental regulations even if they are stricter than federal law.,,,,,,unmapped,42,15,15042
CC1874B05D0F83D2,2018.0,Crime & Public Safety Issues:,,c) Should a minor accused of a violent crime be prosecuted as an adult?,,,,,,unmapped,20,15,15020
8091006D9C2D1915,2018.0,Health Issues:,,e) Do you support eliminating religious exemptions for vaccinations?,,,,,,unmapped,20,15,15020
CC079C5D0CC64170,1998.0,Health Issues,Indicate which principles you support (if any) regarding health issues.,e) Use state funds to continue some Medicaid coverage for legal immigrants.,,,,,,unmapped,74,14,14074
847072B75DDA59D7,2006.0,Crime Issues,Indicate which principles you support (if any) regarding crime.,"i) Require that crimes based on race, ethnic background, religious belief, sex, age, disability, or sexual orientation be prosecuted as hate crimes.",,,,,,unmapped,42,14,14042
F512DE137EA7F642,2006.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,d) Redirect welfare funding to faith-based and community-based private organizations.,,,,,,unmapped,42,14,14042
6206034354FC154A,1998.0,Health Issues,Indicate which principles you support (if any) regarding health issues.,d) Transfer more existing Medicaid recipients into managed care programs.,,,,,,unmapped,74,13,13074
6EFB66B8D4C682C5,2006.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,f) Support marriage promotion programs for welfare recipients.,,,,,,unmapped,42,13,13042
3C7A2B5AE97D1732,1998.0,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,i) Support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,,,,,,unmapped,74,12,12074
8B50ECAE981C48CC,2002.0,Crime Issues,Indicate which principles you support (if any) to address crime.,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",,,,,,unmapped,62,12,12062
7C3677FCCF7F0264,2006.0,Crime Issues,Indicate which principles you support (if any) regarding crime.,f) Decriminalize the possession of small amounts of marijuana.,,,,,,unmapped,42,11,11042
604EB53AD7220216,2002.0,Health Issues,Indicate which principles you support (if any) regarding health issues.,b) Transfer more existing Medicaid recipients into managed care programs.,,,,,,unmapped,62,10,10062
2EA222E4D62FCED5,2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,l) Other or expanded categories,,,,,,unmapped,57,9,9057
1A01D95AB0DF5411,1998.0,Crime,Indicate which principles you support (if any) to address crime.,i) Decriminalize the use of marijuana for medicinal purposes.,,,,,,unmapped,74,7,7074
2CC3113F04583ABA,1998.0,Education,Indicate which principles you support (if any) regarding education.,f) Support sex education programs which stress safe sexual practices.,,,,,,unmapped,74,7,7074
DEF4030BD3BD4643,2006.0,Health Issues,Indicate which principles you support (if any) regarding health.,b) Transfer current Medicaid recipients into managed care programs.,,,,,,unmapped,42,7,7042
03B1D35B44E1532F,2010.0,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,k) Other or expanded categories,,,,,,unmapped,24,7,7024
82E3EDDDD2BB2307,2010.0,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,h) Other or expanded categories,,,,,,unmapped,23,6,6023
AF041DB8CEEDF9B0,2022.0,"Budget, Spending, & Tax Issues:",,"a) In order to balance the budget, do you support reducing state employee salaries AND/OR pensions?",,,,,,unmapped,6,6,6006
BCBE2805D1FA24E9,2022.0,"Budget, Spending, & Tax Issues:",,"b) DO you support raising taxes on any income or on any entity, to promote economic growth?",,,,,,unmapped,6,6,6006
BB01D392AA3E6FFD,2022.0,Crime & Public Safety Issues:,,c) Do you support the enforcement of federal immigration laws by state and local police?,,,,,,unmapped,6,6,6006
EE32EDFA224A51B9,2022.0,Economic Issues:,,d) Do you support providing financial relief to businesses AND/OR corporations negatively impacted by the state of national emergency for COVID-19?,,,,,,unmapped,6,6,6006
07D28E72E85F93E9,2022.0,Education Issues:,,a) Do you support adopting federal education standards in Alabama?,,,,,,unmapped,6,6,6006
EE495E7AC278F57F,2022.0,Government Reform Issues:,,d) Do you support automatic voter registration?,,,,,,unmapped,6,6,6006
BC96312D9FC80424,2022.0,Health Issues:,,b) Do you support a government-run (single-payer) healthcare program such as Medicare-for All?,,,,,,unmapped,6,6,6006
898FA4CA9CD79AF2,2022.0,Health Issues:,,d) Do you support eliminating religious exemptions for vaccinations?,,,,,,unmapped,6,6,6006
E3B9CA081A7487F7,2022.0,Health Issues:,,e) Do you support expanding paid family AND/OR medical leave opportunities?,,,,,,unmapped,6,6,6006
FA7821960DE14E62,2022.0,Health Issues:,,f) Do you support lowering the cost of prescription drugs?,,,,,,unmapped,6,6,6006
DE012A7CAE552BFB,2022.0,Social Issues:,,"c) Do you support greater efforts by Alabama's state government in closing gender, racial and other wage gaps?",,,,,,unmapped,6,6,6006
77900A33AFE47670,2006.0,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,g) Eliminate government-funded welfare programs.,,,,,,unmapped,42,5,5042
DDE7FEA383D428EB,2022.0,Crime & Public Safety Issues:,,b) Should an individual under 18 accused of a violent crime be prosecuted as an adult?,,,,,,unmapped,6,5,5006
89382ACE2738CAF0,2022.0,Crime & Public Safety Issues:,,d) Do you support the use of private prisons?,,,,,,unmapped,6,5,5006
28F94302358306B7,2022.0,Education Issues:,,c) Do you support increasing teacher salaries AND/OR benefits in Alabama?,,,,,,unmapped,6,5,5006
DB47C612FB13BA2F,2022.0,Government Reform Issues:,,"a) Do you support the regulation of campaign contributions from corporations, unions, and individuals?",,,,,,unmapped,6,5,5006
33C38AC46113AA2A,2022.0,Government Reform Issues:,,b) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,,,,,,unmapped,6,5,5006
AF34689A31563090,2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Law enforcement/corrections,,,,,,unmapped,5,5,5005
AA492BFC34561F91,2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Transportation/infrastructure,,,,,,unmapped,5,5,5005
9A4EC682AFEE4A1B,2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Gas/Oil taxes,,,,,,unmapped,5,5,5005
5080CDC9F1093C70,2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",h) Income taxes (mid-income families),,,,,,unmapped,5,5,5005
37CC74A38286391E,2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Reducing state employee salaries AND/OR pensions,,,,,,unmapped,5,5,5005
631AE9BCCDFEF97B,2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Instituting mandatory furloughs AND/OR layoffs for state employees,,,,,,unmapped,5,5,5005
8E0374A7119F87FA,2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,2) Political Action Committee,,,,,,unmapped,5,5,5005
1690FC308511E841,2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,4) Political Party,,,,,,unmapped,5,5,5005
C34F8836866E8F22,2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,b) Should candidates for state office be encouraged to meet voluntary spending limits?,,,,,,unmapped,5,5,5005
9ABC75F03AC2A866,2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,d) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,,,,,,unmapped,5,5,5005
4DEA33E09A24FAC0,2014.0,Crime & Public Safety Issues:,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",,,,,,unmapped,5,5,5005
E8CBF47D500EC322,2014.0,Economic Issues:,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,,,,,,unmapped,5,5,5005
48F388561BAE73DE,2014.0,Environment & Energy Issues:,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",,,,,,unmapped,5,5,5005
261588E56D9A323D,2014.0,Environment & Energy Issues:,,c) Do you support state funding for improvements to Alabama's energy infrastructure?,,,,,,unmapped,5,5,5005
75FCCC0C35B0C2D1,2014.0,Health Issues:,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",,,,,,unmapped,5,5,5005
D548A762051F769D,2014.0,Health Issues:,,b) Do you support expanding access to health care through commercial health insurance reform?,,,,,,unmapped,5,5,5005
33E5C0E8F1BA5BE0,2014.0,Health Issues:,,c) Do you support interstate health insurance compacts?,,,,,,unmapped,5,5,5005
B8C488A795E8B948,2014.0,Health Issues:,,d) Do you support Medicaid expansion under the Affordable Care Act?,,,,,,unmapped,5,5,5005
3795B1A6B33B510A,2014.0,Crime & Public Safety Issues:,,d) Should a minor accused of a violent crime be prosecuted as an adult?,,,,,,unmapped,5,4,4005
506BD98C0D669848,2014.0,Crime & Public Safety Issues:,,e) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,,,,,,unmapped,5,4,4005
28B135C099EB13C8,2014.0,Crime & Public Safety Issues:,,f) Do you support the enforcement of federal immigration laws by state and local police?,,,,,,unmapped,5,4,4005
1ED52240CE5ED096,2014.0,Education Issues:,,a) Do you support the national Common Core State Standards initiative?,,,,,,unmapped,5,4,4005
60F65439EA5FE240,2014.0,Education Issues:,,c) Is the tenure process for public school teachers producing effective teachers?,,,,,,unmapped,5,4,4005
80BBD46321C948DE,2014.0,Gun Issues:,,c) Should citizens be allowed to carry concealed guns?,,,,,,unmapped,5,4,4005
90512F199C345E4E,2014.0,Health Issues:,,e) Do you support requiring individuals to purchase health care insurance?,,,,,,unmapped,5,4,4005
CEAA1D56473F77DB,2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,h) Other or expanded categories,,,,,,unmapped,60,3,3060
52C8B478F2759780,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",b) Arts,,,,,,unmapped,2,2,2002
D162BE1446A775D3,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",c) Defense,,,,,,unmapped,2,2,2002
EEAA049A82C00017,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",d) Education,,,,,,unmapped,2,2,2002
3D4304D576B6DD2C,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",f) Homeland security,,,,,,unmapped,2,2,2002
7FEEB87F0D5B5047,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",g) International aid,,,,,,unmapped,2,2,2002
C6DFBFA8C6E86215,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",i) Medical research,,,,,,unmapped,2,2,2002
3B70A77066B2D174,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",j) National parks,,,,,,unmapped,2,2,2002
76CE76E4C4E257C5,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",k) Public health services,,,,,,unmapped,2,2,2002
7E0B4F94E4E53A1D,2004.0,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",m) Space exploration programs,,,,,,unmapped,2,2,2002
F9F60BAB9EFE32F1,2004.0,"Budgetary, Spending, and Tax Issues, Part 2: Defense Spending",Defense Spending,a) Armed Forces personnel training,,,,,,unmapped,2,2,2002
B914A272B90221B9,2004.0,"Budgetary, Spending, and Tax Issues, Part 2: Defense Spending",Defense Spending,b) Intelligence operations,,,,,,unmapped,2,2,2002
