ontology_version,review_id,election_year,section,question,option_text,candidate_count,stage,model,primary_domain,policy_key,plain_english_policy,substantive,confidence,evidence_quote,needs_human_review,review_reason,effects_json,effect_signature,evidence_quote_verified,classification_error,classification_cache
2.0.1,180C8F52DAB2611C,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,26,initial,gemma2:2b,business,market_governance,intervention,False,low,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,True,The policy option is about increasing government spending on security measures. This suggests a focus on market intervention to address crime.,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""secundary""}]","[[""market_governance"", ""intervention""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_180C8F52DAB2611C_gemma2_2b.json
2.0.1,D328971C903F1683,1998,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,h) Restructure the electric utility industry to allow consumers to choose their power company.,25,initial,gemma2:2b,environment,business_scale_alignment,Allowing consumers to choose their power company,False,high,Restructure the electric utility industry to allow consumers to choose their power company.,False,This policy promotes market competition in the electric utility industry. It allows consumers to choose their power provider.,"[{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""secondary"",""rationale"":""This policy allows for market-based competition in the electric utility industry.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy directly impacts small businesses by allowing them to compete with larger companies.""}]","[[""business_scale_alignment"", ""small_business""], [""market_governance"", ""market_autonomy""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_D328971C903F1683_gemma2_2b.json
2.0.1,BBD154B206600077,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,i) Support the lower .08 blood-alcohol-content limit defining drunk driving.,25,initial,gemma2:2b,welfare,restriction,Restricting alcohol consumption to a lower blood-alcohol content limit for driving.,False,high,Support the lower .08 blood-alcohol-content limit defining drunk driving.,False,This option is a restriction on alcohol consumption for driving. It aims to reduce drunk driving incidents.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""secondary""}]","[[""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_BBD154B206600077_gemma2_2b.json
2.0.1,2B2DA101C222848F,2006,Crime Issues,Indicate which principles you support (if any) regarding crime.,n) Criminalize the employment of an undocumented immigrant in Alabama.,24,initial,gemma2:2b,criminal_justice,restriction,Restricting the employment of undocumented immigrants.,True,high,n) Criminalize the employment of an undocumented immigrant in Alabama.,False,This policy directly targets undocumented immigrants' ability to work. This is a restriction on labor access.,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy directly impacts labor market dynamics.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The impact of this policy is likely to be more significant on small businesses that rely on undocumented workers.""}]","[[""business_scale_alignment"", ""small_business""], [""labor_capital_alignment"", ""labor""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_2B2DA101C222848F_gemma2_2b.json
2.0.1,6F2F07CB8ACCADC4,2006,Crime Issues,Indicate which principles you support (if any) regarding crime.,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,23,initial,gemma2:2b,welfare,expansion,Increase funding for emergency agencies,False,high,Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,False,The policy is about increasing funding for emergency agencies. This suggests an expansion of welfare services.,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""The text does not specify a business scale. It is unclear if the policy would impact small or large businesses.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""This option aims to increase funding for emergency agencies, which suggests an expansion of welfare services.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_6F2F07CB8ACCADC4_gemma2_2b.json
2.0.1,12E4E8D5CD254CBA,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,a) Do you support limits on the number of terms for Alabama governors?,21,initial,gemma2:2b,business,market_governance,limits on the number of terms for state government officials,False,high,Do you support limits on the following types of contributions to candidates for state government?,False,This question is about campaign finance and government reform. It asks if a candidate supports limits on the number of terms for Alabama governors.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""limits on the number of terms for state government officials could be seen as a restriction on the amount of time that individuals can hold office.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""limits on the number of terms for state government officials could be seen as a restriction on the amount of time that individuals can hold office.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_12E4E8D5CD254CBA_gemma2_2b.json
2.0.1,7EB52696081DFCF1,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,2) Political Action Committee,21,initial,gemma2:2b,business,market_governance,restriction,False,low,2) Political Action Committee,False,"This option restricts the ability of Political Action Committees to contribute to candidates. This is a form of market intervention, as it limits the freedom of action for businesses in political contributions.","[{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""secondary"",""rationale"":""This option restricts the ability of Political Action Committees to contribute to candidates. This is a form of market intervention, as it limits the freedom of action for businesses in political contributions.""}]","[[""market_governance"", ""market_autonomy""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_7EB52696081DFCF1_gemma2_2b.json
2.0.1,A7650344F2E564A0,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,4) Political Party,21,initial,gemma2:2b,business,market_governance,restriction,False,low,4) Political Party,False,The policy is a restriction on political party contributions to candidates. This suggests the candidate supports limiting market influence in the political process.,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The policy is a restriction on political party contributions to candidates. This suggests the candidate supports limiting market influence in the political process.""}]","[[""market_governance"", ""intervention""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_A7650344F2E564A0_gemma2_2b.json
2.0.1,599EFED63AC23D0D,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,d) Should candidates for state office be encouraged to meet voluntary spending limits?,21,initial,gemma2:2b,business,market_governance,Encourage voluntary spending limits on candidate contributions.,False,low,Should candidates for state office be encouraged to meet voluntary spending limits?,False,This is a policy question about campaign finance reform. It does not explicitly mention any specific policy mechanism or effect.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This policy restricts the amount of money candidates can spend on their campaigns.""}]","[[""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_599EFED63AC23D0D_gemma2_2b.json
2.0.1,271781AA3B5B00AD,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,f) Should the Alabama Ethics Commission have the power of subpoena?,21,initial,gemma2:2b,business,market_governance,Intervention in campaign finance,False,high,Should the Alabama Ethics Commission have the power of subpoena?,False,The policy directly restricts the power of the Alabama Ethics Commission. This is a form of intervention in campaign finance.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy restricts the power of the Alabama Ethics Commission to subpoena. This is a form of intervention in campaign finance.""}]","[[""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_271781AA3B5B00AD_gemma2_2b.json
2.0.1,AD5450F8A17FF56B,2010,Crime and Public Safety Issues,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",21,initial,gemma2:2b,welfare,childcare_delivery,employer_incentive,True,high,"Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",False,"This option suggests a policy that would incentivize employers to provide childcare services. This is an example of employer-provided childcare, which falls under the category of 'employer_incentive' for childcare delivery.","[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""}]","[[""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_AD5450F8A17FF56B_gemma2_2b.json
2.0.1,247810B71479C610,2010,Economic Issues,,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,21,initial,gemma2:2b,economy,infrastructure_spending,support increased spending on infrastructure projects to create jobs,False,high,Do you support increased spending on infrastructure projects for the purpose of job creation?,False,This question asks about supporting government spending to create jobs. This is a classic economic policy issue that often involves trade-offs between short-term and long-term benefits.,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""economic growth""},{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""primary"",""rationale"":""job creation""}]","[[""business_scale_alignment"", ""large_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_247810B71479C610_gemma2_2b.json
2.0.1,9425212F9E5F1AAD,2010,Economic Issues,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,21,initial,gemma2:2b,business,employer_incentive,Tax credit for employers that provide childcare,False,high,Do you support providing financial incentives to the private sector for the purpose of job creation?,False,This option is a policy proposal that aims to incentivize businesses to create jobs. It's not about directly providing childcare services but rather encouraging employers to offer such benefits as part of their compensation packages.,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy is designed to encourage job creation by providing financial incentives to employers who offer childcare benefits.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""This option specifically targets the private sector, including small businesses, as a means to stimulate job creation.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_9425212F9E5F1AAD_gemma2_2b.json
2.0.1,F03227E589B2FDD3,2010,Health Issues,,d) Should individuals be required to purchase health care insurance?,21,initial,gemma2:2b,welfare,restriction,Restricting access to healthcare.,False,high,Should individuals be required to purchase health care insurance?,False,This question asks whether individuals should be required to buy health insurance. This is a restriction on access to healthcare.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on access to healthcare.""}]","[[""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_F03227E589B2FDD3_gemma2_2b.json
2.0.1,4389BFFBF6BF5237,2010,Social Issues,,e) Do you support the state's use of affirmative action?,21,initial,gemma2:2b,welfare,expansion,support for affirmative action,False,high,Affirmative action is a policy that seeks to level the playing field by giving special consideration to members of certain groups who have been historically disadvantaged. ,False,affirmative action is a form of government intervention in the labor market.,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""affirmative action is a form of government intervention in the labor market.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""affirmative action expands opportunities for historically disadvantaged groups.""}]","[[""market_governance"", ""intervention""], [""welfare_policy"", ""expansion""]]",False,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_4389BFFBF6BF5237_gemma2_2b.json
2.0.1,E6D2D863E600914F,2010,Social Issues,,a) Should marriage only be between one man and one woman?,21,initial,gemma2:2b,abortion,abolition_access,restriction,False,low,Should marriage only be between one man and one woman?,False,This question asks about the restriction of marriage to a specific definition. This is a policy that would restrict access to marriage for individuals who do not fit this definition.,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""secondary"",""rationale"":""no""}]","[[""abortion_access"", ""restrict""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_E6D2D863E600914F_gemma2_2b.json
2.0.1,1E3ECB4021F8516D,2002,Health Issues,Indicate which principles you support (if any) regarding health issues.,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,20,initial,gemma2:2b,healthcare,public_provision,Public provision of healthcare,True,high,Increase state funding for training health workers to recognize and respond to the release of biological agents.,False,This option is a direct request for increased public funding for healthcare services. This suggests that the policy mechanism is likely to be public provision of healthcare.,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""Expansion of public health services is a common policy goal.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This option could be seen as favoring small businesses by increasing the capacity of public health services to respond to potential threats.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""expansion""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_1E3ECB4021F8516D_gemma2_2b.json
2.0.1,4414F58653B9CA9C,2010,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,b) Regulating and taxing gaming proceeds,20,initial,gemma2:2b,taxation,state_taxes,Regulating and taxing gaming proceeds,False,high,Regulating and taxing gaming proceeds,False,The question asks for the level of support for regulating and taxing gaming proceeds. This is a form of restriction on the industry.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""regulating and taxing gaming proceeds is a form of restriction on the industry.""}]","[[""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_4414F58653B9CA9C_gemma2_2b.json
2.0.1,0A7E855D50CFD5BB,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,b) Do you support limits on the number of terms for Alabama state legislators?,20,initial,gemma2:2b,business,market_governance,limits on the number of terms for Alabama state legislators,False,low,,False,This policy directly limits the number of terms for state legislators. This is a restriction on the amount of time that individuals can hold office.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This policy directly limits the number of terms for state legislators. This is a restriction on the amount of time that individuals can hold office.""}]","[[""welfare_policy"", ""restriction""]]",False,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_0A7E855D50CFD5BB_gemma2_2b.json
2.0.1,43626A90BE2A35E9,2010,Crime and Public Safety Issues,,d) Do you support increasing penalties for illegal cockfighting?,20,initial,gemma2:2b,criminal_justice,punitive,increase penalties for illegal cockfighting,False,high,Do you support increasing penalties for illegal cockfighting?,False,This question is about criminal justice and public safety. It does not directly address environmental protection or resource management.,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy directly impacts labor by increasing penalties for illegal activities that may affect the workforce.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""The impact of this policy on small businesses is secondary. This policy primarily affects illegal activities, which may have a broader impact on the economy.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""secondary"",""rationale"":""This policy does not directly address environmental protection or resource management. It focuses on criminal justice and public safety issues.""}]","[[""business_scale_alignment"", ""small_business""], [""environmental_protection"", ""weaken""], [""labor_capital_alignment"", ""labor""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_43626A90BE2A35E9_gemma2_2b.json
2.0.1,A7E047B2B299B4BB,2010,Crime and Public Safety Issues,,g) Do you support the enforcement of federal immigration laws by state and local police?,20,initial,gemma2:2b,immigration,immigration_access,support for enforcing federal immigration laws by state and local police,False,high,Do you support the enforcement of federal immigration laws by state and local police?,False,This question asks for a stance on enforcing federal immigration laws by state and local police. This is a policy that impacts immigration access.,"[{""axis"":""immigration_access"",""pole"":""expand"",""strength"":""secondary"",""rationale"":""support for enforcing federal immigration laws by state and local police""}]","[[""immigration_access"", ""expand""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_A7E047B2B299B4BB_gemma2_2b.json
2.0.1,769166C67EE826C8,2010,Crime and Public Safety Issues,,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,20,initial,gemma2:2b,criminal_justice,family_support_enforcement,strict_enforcement,False,high,Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,False,The question directly asks about the legal consequences of minors sending explicit content. This suggests a focus on enforcing strict penalties for such actions.,"[{""axis"":""family_support_enforcement"",""pole"":""strict_enforcement"",""strength"":""primary"",""rationale"":""The question asks whether a minor who sends sexually-explicit or nude photos by cell phone should face criminal charges. This implies a focus on enforcing strict penalties for such actions, likely reflecting a stance against child exploitation and potentially advocating for stricter legal consequences.""}]","[[""family_support_enforcement"", ""strict_enforcement""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_769166C67EE826C8_gemma2_2b.json
2.0.1,9395B1D2CF02F0D7,2010,Crime and Public Safety Issues,,c) Should the possession of small amounts of marijuana be decriminalized?,20,initial,gemma2:2b,criminal_justice,decriminalization,Decriminalize possession of small amounts of marijuana.,False,high,Should the possession of small amounts of marijuana be decriminalized?,False,This is a policy question about whether to decriminalize the possession of small amounts of marijuana. This option would likely impact businesses that sell or distribute marijuana products.,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on the use of marijuana.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This option would likely impact small businesses that sell or distribute marijuana products.""}]","[[""business_scale_alignment"", ""small_business""], [""welfare_policy"", ""restriction""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_9395B1D2CF02F0D7_gemma2_2b.json
2.0.1,36D1F14014E5B45B,2010,Environment and Energy Issues,,c) Do you support providing financial incentives to farms that produce biofuel crops?,20,initial,gemma2:2b,business,resource_development,Support for incentivizing the production of biofuels from agricultural crops.,False,high,Do you support providing financial incentives to farms that produce biofuel crops?,False,The policy directly incentivizes the production of biofuels from agricultural crops.,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy directly incentivizes small-scale farms to engage in biofuel production.""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""The policy aims to expand the production of biofuels, which is a form of resource development.""}]","[[""business_scale_alignment"", ""small_business""], [""resource_development"", ""expand""]]",True,,research\cmo_ideology\votesmart_pct_multiaxis_v2\2.0.1_36D1F14014E5B45B_gemma2_2b.json
