ontology_version,review_id,election_year,normalized_option,question,option_text,decision,primary_domain,policy_domains_json,policy_key,effects_json,confidence,reviewer_notes,consensus_status,direction_resolutions_json,review_source
2.0.1,7FE6E08148272D4E,2014,reducing state employee salaries and/or pensions,"1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Reducing state employee salaries AND/OR pensions,skip,labor,"[""labor"",""welfare""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""The policy directly impacts labor by reducing salaries and pensions. This is a restriction on labor's ability to earn income.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""The policy aims to reduce state employee salaries and pensions.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,850172B3EBD601E2,1998,provide increased funding for agricultural and forestry research.,Indicate which principles you support (if any) concerning the economy and employment.,e) Provide increased funding for agricultural and forestry research.,skip,business,"[""business"",""economy""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""research is a key factor in economic growth and development.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""Increased funding could lead to regulatory or interventionist policies in the agricultural and forestry sectors.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""Agricultural and forestry research may benefit small businesses more directly than large ones, depending on the nature of the funding and its focus.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,86F73CED0D2C803E,2006,emergency preparedness,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,c) Emergency preparedness,skip,government_reform,"[""government_reform"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""emergency preparedness is a public service that should be funded by the government.""},{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""primary"",""rationale"":""This option focuses on emergency preparedness, which may involve market autonomy in terms of resource allocation and decision-making during crises. However, this is not a direct policy mechanism stated here.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,90DAFBF66D8125A3,2018,do you support the regulation of indirect campaign contributions from corporations and unions?,,b) Do you support the regulation of indirect campaign contributions from corporations and unions?,skip,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The policy is about regulating market behavior.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""Supporting regulation of indirect campaign contributions from corporations and unions is seen as an expansion in welfare policy, particularly if the regulation aims to reduce corruption or ensure fairer political processes.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,91A39BD191A5FD02,2010,"do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",skip,business,"[""business"",""environment""]",,"[{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""primary"",""rationale"":""The policy directly supports the development of energy sources that are typically large-scale and often involve significant capital investment.""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""The policy explicitly seeks to expand the development of traditional domestic energy sources, indicating a focus on increasing resource availability and production.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""State funding for traditional domestic energy sources may be seen as restricting the development of alternative, cleaner energy sources.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""primary"",""rationale"":""Supporting state funding for coal, natural gas, and oil could weaken environmental protection efforts by prioritizing these traditional energy sources over more sustainable alternatives.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,9213CF20D5CEC9AB,2014,do you support the use of an independent and/or bipartisan commission for redistricting?,a) Do you support limits on the following types of contributions for state candidates?,d) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,skip,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""The policy directly supports a market-based solution to redistricting by advocating for an independent commission.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""Supporting limits on contributions implies a restriction of the amount or type of money that can be given to state candidates.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,9395B1D2CF02F0D7,2010,should the possession of small amounts of marijuana be decriminalized?,,c) Should the possession of small amounts of marijuana be decriminalized?,skip,criminal_justice,"[""criminal_justice"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on the use of marijuana.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This option would likely impact small businesses that sell or distribute marijuana products.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,9420CEB59F3A5B54,1998,provide tax credits for businesses that provide child care for their employees.,Indicate which principles you support (if any) regarding social issues.,b) Provide tax credits for businesses that provide child care for their employees.,skip,childcare,"[""childcare"",""welfare""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy explicitly mentions tax credits for businesses that provide childcare. This suggests a focus on small businesses, as they are more likely to be impacted by the cost of childcare.""},{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""primary"",""rationale"":""The policy aims to incentivize employers to provide childcare, which benefits employees and potentially reduces labor turnover. This aligns with the labor side of the alignment.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""Tax credits incentivize businesses to provide childcare, which can expand access for employees.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,A7E047B2B299B4BB,2010,do you support the enforcement of federal immigration laws by state and local police?,,g) Do you support the enforcement of federal immigration laws by state and local police?,skip,criminal_justice,"[""criminal_justice"",""immigration""]",,"[{""axis"":""immigration_access"",""pole"":""expand"",""strength"":""secondary"",""rationale"":""support for enforcing federal immigration laws by state and local police""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""Enforcement of federal immigration laws by state and local police is typically associated with a punitive approach to crime.""},{""axis"":""family_support_enforcement"",""pole"":""strict_enforcement"",""strength"":""secondary"",""rationale"":""Supporting the enforcement of these laws implies strict enforcement, as it involves enforcing legal boundaries and deterring illegal activities.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,BA4CFD7BC06EEBC3,2018,instituting mandatory furloughs and/or layoffs for state employees?,1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,b) Instituting mandatory furloughs AND/OR layoffs for state employees?,skip,labor,"[""labor"",""welfare""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""The policy directly impacts labor by reducing employment opportunities.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""Mandatory furloughs and layoffs are a form of government intervention in the workforce to manage state budgets.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""The policy restricts spending on state employees, which is part of budget stabilization measures.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,DC85E256045D3D09,2018,do you support the enforcement of federal immigration laws by state and local police?,,d) Do you support the enforcement of federal immigration laws by state and local police?,skip,criminal_justice,"[""criminal_justice"",""immigration""]",,"[{""axis"":""immigration_access"",""pole"":""expand"",""strength"":""secondary"",""rationale"":""support for enforcing federal immigration laws by state and local police""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""Supporting the enforcement of federal immigration laws by state and local police implies a punitive approach to enforcing these laws.""},{""axis"":""family_support_enforcement"",""pole"":""strict_enforcement"",""strength"":""secondary"",""rationale"":""Enforcing federal immigration laws would likely involve strict enforcement measures, such as detaining individuals or deporting them.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,E6D2D863E600914F,2010,should marriage only be between one man and one woman?,,a) Should marriage only be between one man and one woman?,skip,abortion,"[""abortion"",""labor""]",,"[{""axis"":""abortion_access"",""pole"":""restrict"",""strength"":""secondary"",""rationale"":""no""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This question pertains to the legal definition of marriage, which is a social policy issue.""},{""axis"":""labor_rights"",""pole"":""restrict"",""strength"":""primary"",""rationale"":""Restricting same-sex marriages could be seen as restricting labor rights for LGBTQ+ individuals in certain contexts.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
2.0.1,E9798404FBF8E10D,2014,political party,a) Do you support limits on the following types of contributions for state candidates?,4) Political Party,skip,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The question asks for limits on contributions to political parties. This suggests a restriction on market-based influence in the political process.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy restricts the amount of money that can be contributed by political parties to state candidates.""}]",medium,,complete_disagreement,{},focused_ministral_direction_adjudication
