canonical_candidate_id,bundle_id,dimensions_observed,dimensions_used,bundle_label
AL-2006-house-21-D-RANDY-HINSHAW,6,4,6,low social traditionalism + high racial and political equality
AL-2006-house-28-D-CRAIG-FORD,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-35-D-STEVE-HURST,6,4,6,low social traditionalism + high racial and political equality
AL-2006-house-4-D-SUE-MITCHELL,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-40-D-LEA-FITE,6,4,6,low social traditionalism + high racial and political equality
AL-2006-house-44-D-JONATHAN-BARBEE,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-58-D-OLIVER-ROBINSON,6,4,6,low social traditionalism + high racial and political equality
AL-2006-house-66-D-F-P-SKIPPY-WHITE,2,5,6,high gun rights + high market and development autonomy
AL-2006-house-7-D-JOHN-JODY-LETSON,6,5,6,low social traditionalism + high racial and political equality
AL-2006-house-73-D-LARRY-A-GREWELLE,6,6,6,low social traditionalism + high racial and political equality
AL-2006-house-80-D-LESLEY-VANCE,6,5,6,low social traditionalism + high racial and political equality
AL-2006-house-9-D-RONALD-GRANTLAND,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-91-D-TERRY-SPICER,6,4,6,low social traditionalism + high racial and political equality
AL-2006-house-92-D-SETH-HAMMETT,2,3,6,high gun rights + high market and development autonomy
AL-2006-house-93-D-JOHN-WILLIAMS,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-94-D-GENE-PONDER,3,6,6,low racial and political equality + high social traditionalism
AL-2006-house-95-D-FRANK-CAMP,4,6,6,low punitive law and order + high material redistribution
AL-2006-senate-11-D-JIM-PREUITT,1,5,6,high social traditionalism + low material redistribution
AL-2006-senate-16-D-RUSS-PARKER,4,6,6,low punitive law and order + high material redistribution
AL-2006-senate-18-D-RODGER-M-SMITHERMAN,2,3,6,high gun rights + high market and development autonomy
AL-2006-senate-2-D-TOM-BUTLER,6,5,6,low social traditionalism + high racial and political equality
AL-2006-senate-21-D-PHIL-POOLE,6,4,6,low social traditionalism + high racial and political equality
AL-2006-senate-27-D-T-D-TED-LITTLE,2,5,6,high gun rights + high market and development autonomy
AL-2006-senate-35-D-GARY-TANNER,6,5,6,low social traditionalism + high racial and political equality
AL-2006-senate-4-D-ZEB-LITTLE,2,3,6,high gun rights + high market and development autonomy
AL-2006-senate-9-D-HINTON-HITCHEM,6,5,6,low social traditionalism + high racial and political equality
AL-2010-house-12-D-JAMES-C-FIELDS-JR,5,4,6,high material redistribution + low market and development autonomy
AL-2010-house-13-D-TOMMY-SHERER,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-14-D-KEN-GUIN,2,5,6,high gun rights + high market and development autonomy
AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,5,4,6,high material redistribution + low market and development autonomy
AL-2010-house-2-D-MIKE-CURTIS,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-21-D-RANDY-HINSHAW,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-22-D-BUTCH-TAYLOR,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-27-D-JEFF-MCLAUGHLIN,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-29-D-JOHN-G-JACK-PAGE-III,4,3,6,low punitive law and order + high material redistribution
AL-2010-house-30-D-WALLY-BURNS,6,5,6,low social traditionalism + high racial and political equality
AL-2010-house-35-D-STEVE-HURST,1,4,6,high social traditionalism + low material redistribution
AL-2010-house-37-D-RICHARD-LAIRD,2,5,6,high gun rights + high market and development autonomy
AL-2010-house-39-D-RICHARD-LINDSEY,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-42-D-JAMES-M-JIMMY-MARTIN,6,4,6,low social traditionalism + high racial and political equality
AL-2010-house-45-D-CHARLENE-CANNON,6,5,6,low social traditionalism + high racial and political equality
AL-2010-house-5-D-HENRY-A-WHITE,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-61-D-ALAN-HARPER,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-7-D-JOHN-JODY-LETSON,2,3,6,high gun rights + high market and development autonomy
AL-2010-house-73-D-JOSEPH-LISTER-JOE-HUBBARD,6,5,6,low social traditionalism + high racial and political equality
AL-2010-house-80-D-LESLEY-VANCE,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-81-D-BETTY-CAROL-GRAHAM,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-90-D-CHARLES-NEWTON,6,3,6,low social traditionalism + high racial and political equality
AL-2010-house-91-D-TERRY-SPICER,6,5,6,low social traditionalism + high racial and political equality
AL-2010-senate-1-D-TAMMY-L-IRONS,6,4,6,low social traditionalism + high racial and political equality
AL-2010-senate-10-D-LARRY-MEANS,2,5,6,high gun rights + high market and development autonomy
AL-2010-senate-2-D-TOM-BUTLER,5,4,6,high material redistribution + low market and development autonomy
AL-2010-senate-21-D-PHIL-POOLE,1,4,6,high social traditionalism + low material redistribution
AL-2010-senate-22-D-MARC-KEAHEY,5,6,6,high material redistribution + low market and development autonomy
AL-2010-senate-27-D-T-D-TED-LITTLE,5,5,6,high material redistribution + low market and development autonomy
AL-2010-senate-28-D-BILLY-BEASLEY,6,3,6,low social traditionalism + high racial and political equality
AL-2010-senate-30-D-WALKING-WENDELL-MITCHELL,5,4,6,high material redistribution + low market and development autonomy
AL-2010-senate-33-D-VIVIAN-DAVIS-FIGURES,6,3,6,low social traditionalism + high racial and political equality
AL-2010-senate-4-D-ZEB-LITTLE,1,4,6,high social traditionalism + low material redistribution
AL-2010-senate-5-D-BRETT-WADSWORTH,2,5,6,high gun rights + high market and development autonomy
AL-2010-senate-6-D-ROGER-BEDFORD-JR,5,4,6,high material redistribution + low market and development autonomy
AL-2010-senate-8-D-LOWELL-BARRON,6,3,6,low social traditionalism + high racial and political equality
AL-2014-house-1-D-GREG-BURDINE,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-16-D-DANIEL-H-BOMAN,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-18-D-JOHNNY-MACK-MORROW,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-23-D-JOHN-ROBINSON,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-28-D-CRAIG-FORD,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-3-D-MARCEL-BLACK,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-39-D-RICHARD-LINDSEY,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-52-D-JOHN-W-ROGERS-JR,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-74-D-ZACK-BUCKNER,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-77-D-JOHN-KNIGHT,1,6,6,high social traditionalism + low material redistribution
AL-2014-house-78-D-ALVIN-HOLMES,6,5,6,low social traditionalism + high racial and political equality
AL-2014-house-83-D-GEORGE-TOOTIE-BANDY,6,6,6,low social traditionalism + high racial and political equality
AL-2014-house-84-D-BERRY-FORTE,6,5,6,low social traditionalism + high racial and political equality
AL-2014-house-85-D-DEXTER-GRIMSLEY,1,6,6,high social traditionalism + low material redistribution
AL-2014-house-98-D-NAPOLEON-BRACY-JR,6,6,6,low social traditionalism + high racial and political equality
AL-2014-senate-11-D-RON-CRUMPTON,4,3,6,low punitive law and order + high material redistribution
AL-2014-senate-28-D-BILLY-BEASLEY,6,5,6,low social traditionalism + high racial and political equality
AL-2014-senate-35-D-BEAU-DOOLITTLE,6,4,6,low social traditionalism + high racial and political equality
AL-2014-senate-6-D-ROGER-BEDFORD-JR,1,6,6,high social traditionalism + low material redistribution
AL-2018-house-10-D-J-B-KING,4,6,6,low punitive law and order + high material redistribution
AL-2018-house-15-D-SUZANNA-COLEMAN,4,6,6,low punitive law and order + high material redistribution
AL-2018-house-28-D-KYLE-PIERCE,4,4,6,low punitive law and order + high material redistribution
AL-2018-house-32-D-BARBARA-BIGSBY-BOYD,3,6,6,low racial and political equality + high social traditionalism
AL-2018-house-37-D-CHARLOTTE-A-CLARK-FRIESON,6,6,6,low social traditionalism + high racial and political equality
AL-2018-house-38-D-BRIAN-MCGEE,3,6,6,low racial and political equality + high social traditionalism
AL-2018-house-41-D-EMILY-ANNE-MARCUM,4,6,6,low punitive law and order + high material redistribution
AL-2018-house-45-D-JENN-GRAY,4,6,6,low punitive law and order + high material redistribution
AL-2018-house-46-D-FELICIA-STEWART,4,5,6,low punitive law and order + high material redistribution
AL-2018-house-47-D-JIM-TOOMEY,4,6,6,low punitive law and order + high material redistribution
AL-2018-house-61-D-THOMAS-TOMMY-HYCHE,6,6,6,low social traditionalism + high racial and political equality
AL-2018-house-65-D-ELAINE-BEECH,2,6,6,high gun rights + high market and development autonomy
AL-2018-house-66-D-SUSAN-E-SMITH,1,6,6,high social traditionalism + low material redistribution
AL-2018-house-85-D-DEXTER-GRIMSLEY,1,6,6,high social traditionalism + low material redistribution
AL-2018-house-86-D-KRISTY-M-KIRKLAND,5,6,6,high material redistribution + low market and development autonomy
AL-2018-house-88-D-CORY-CREEL,5,6,6,high material redistribution + low market and development autonomy
AL-2018-house-90-D-JOANNE-WHETSTONE,5,6,6,high material redistribution + low market and development autonomy
AL-2018-house-96-D-MAURICE-HORSEY,3,6,6,low racial and political equality + high social traditionalism
AL-2018-house-97-D-ADLINE-C-CLARKE,2,6,6,high gun rights + high market and development autonomy
AL-2018-senate-14-D-JERRY-MCDONALD,4,6,6,low punitive law and order + high material redistribution
AL-2018-senate-2-D-AMY-WASYLUKA,4,6,6,low punitive law and order + high material redistribution
AL-2018-senate-21-D-RICK-BURNHAM,5,6,6,high material redistribution + low market and development autonomy
AL-2018-senate-25-D-DAVID-A-SADLER,6,3,6,low social traditionalism + high racial and political equality
AL-2018-senate-27-D-NANCY-CARLTON-BENDINGER,4,6,6,low punitive law and order + high material redistribution
AL-2018-senate-35-D-TOM-HOLMES,4,6,6,low punitive law and order + high material redistribution
AL-2018-senate-6-D-JOHNNY-MACK-MORROW,3,5,6,low racial and political equality + high social traditionalism
AL-2022-house-12-D-GSL012DFIE,4,5,6,low punitive law and order + high material redistribution
AL-2022-house-27-D-GSL027DNEU,3,4,6,low racial and political equality + high social traditionalism
AL-2022-house-32-D-GSL032DBOY,5,5,6,high material redistribution + low market and development autonomy
AL-2022-house-47-D-GSL047DCOL,4,6,6,low punitive law and order + high material redistribution
AL-2022-house-68-D-GSL068DJAC,5,5,6,high material redistribution + low market and development autonomy
AL-2022-house-69-D-GSL069DLAW,5,5,6,high material redistribution + low market and development autonomy
AL-2022-house-82-D-GSL082DWAR,5,5,6,high material redistribution + low market and development autonomy
AL-2022-house-85-D-GSL085DGRI,5,5,6,high material redistribution + low market and development autonomy
AL-2022-senate-33-D-GSU33DFIG,6,6,6,low social traditionalism + high racial and political equality
