sha256,poll_ids,local_path,reason
abe167dd7070480eb265a2cab1d7280e3626cc1130a26f6e72b4260b7d1d6a18,gen202youd9o38mxk|gen202youka5tphmn,data\raw\polling\votehub_crosstabs\gen202youka5tphmn_abe167dd7070.pdf,'Education' is not in list; 'Education' is not in list
ba1dafbc1760f85a44258600611d6dd69092b15e55e83ef816d356cea4919724,gen202youxems43ny|gen202youc4doajhn,data\raw\polling\votehub_crosstabs\gen202youxems43ny_ba1dafbc1760.pdf,'Education' is not in list; 'Education' is not in list
bc801c6ea2de0fef61dbea87a38d6c4cc38b791870be29c97bb62cfe6220dcfd,gen202you0di212ea|gen202you0nji2mdw,data\raw\polling\votehub_crosstabs\gen202you0nji2mdw_bc801c6ea2de.pdf,No generic-vote crosstab page found
c5c87d87c9ffb63216e8c3f225d979506fbafd1e367c81eb7bf9ac8a6dfcb7fa,gen202you6j0eib4q|gen202youfa0e23zn,data\raw\polling\votehub_crosstabs\gen202you6j0eib4q_c5c87d87c9ff.pdf,No generic-vote crosstab page found
c7b17473d8535cecddce4a3ed0d13931bdc8a4a4f56512b6401fe28b00678fd6,gen202youted6dkve|gen202youq3dfmb50,data\raw\polling\votehub_crosstabs\gen202youted6dkve_c7b17473d853.pdf,No generic-vote crosstab page found
da24ece19a02b97be30295577f35ab5fdd182809ed765836620261eac1783453,gen202you5072b560,data\raw\polling\votehub_crosstabs\gen202you5072b560_da24ece19a02.pdf,No generic-vote crosstab page found
da920578ddebfaeec40cfd5199e14ca2834c17bcd3d4b15336e177f175d19f38,gen202youmxyis93n|gen202youwb0wcges,data\raw\polling\votehub_crosstabs\gen202youmxyis93n_da920578ddeb.pdf,No generic-vote crosstab page found
e2d0fa9cea22f1575b33cfc4aa4e57b5767c09026bcd8504e58541907c57ffa2,gen202youu3ai7u27|gen202youurkrv24g,data\raw\polling\votehub_crosstabs\gen202youu3ai7u27_e2d0fa9cea22.pdf,No generic-vote crosstab page found
ea018ab15b5edd823a0e8ec7fd5e1f70d0ef6253adbd933b1244153bcaf609d0,gen202youmu5vzabb|gen202youfc649q73,data\raw\polling\votehub_crosstabs\gen202youmu5vzabb_ea018ab15b5e.pdf,'Education' is not in list; 'Education' is not in list
ecc59f7f7ec19ac7f06a5c1799a864dd9f358f09143e76a97e20fa1df6c674fa,gen202you85czczs0|gen202you6o1nsb1w,data\raw\polling\votehub_crosstabs\gen202you6o1nsb1w_ecc59f7f7ec1.pdf,No generic-vote crosstab page found
efb93223b8044629d51fb5dec7fad9d18f6d0c8e731822e4b94d10bc95857a47,gen202you5d81f482,data\raw\polling\votehub_crosstabs\gen202you5d81f482_efb93223b804.pdf,No generic-vote crosstab page found
f9517b3543e3a6ee9c28b712af14a554a3dd72124f5164c7aaa39910179f980a,gen202you9a9g9olg|gen202younb0uckie,data\raw\polling\votehub_crosstabs\gen202younb0uckie_f9517b3543e3.pdf,'Education' is not in list; 'Education' is not in list
fa0ec9d56f3dc6145f5d5974ffc643e67f34149332976fccca1ea505cf0f4478,gen202youslkef7gy|gen202you0v0ouios,data\raw\polling\votehub_crosstabs\gen202youslkef7gy_fa0ec9d56f3d.pdf,No generic-vote crosstab page found
ff72a1007b1f2b13e5c32fffce9a83568609d3b6f2362dfbd7144c313bb83522,gen202youpi8ec2w9,data\raw\polling\votehub_crosstabs\gen202youpi8ec2w9_ff72a1007b1f.pdf,'Education' is not in list
