reconciliation_id,build_run_id,source_file_id,source_member,state_code,cycle,parser_name,input_rows,output_candidate_rows,input_votes,output_votes,vote_delta,unknown_vote_rows,reconciliation_status,note
LREC-110E09147C9B69C280FE,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-ok-precinct-general.csv,OK,2020.0,parse_medsl_precinct_returns,7047,101,977539,977539,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-05661689AB5019543172,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-sc-precinct-general.csv,SC,2020.0,parse_medsl_precinct_returns,42150,437,4592184,4592184,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-2F26C5066AD375D65EA7,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-tn-precinct-general.csv,TN,2020.0,parse_medsl_precinct_returns,5297,181,3920190,3920190,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-832DCA1A01F483AC17E6,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-tx-precinct-general.csv,TX,2020.0,parse_medsl_precinct_returns,26545,310,15329786,15329786,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-6CB18C8A3DC5ADBAF659,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-394BBC1B2F92693D3892,2020-va-precinct-general.csv,VA,2020.0,parse_medsl_precinct_returns,84,3,45235,45235,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-69D9CABC1B9B08AFA674,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-al-precinct-general.csv,AL,2018.0,parse_medsl_precinct_returns,57795,628,3449046,3449046,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-FBBC35A8297427C2FB5D,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-ar-precinct-general.csv,AR,2018.0,parse_medsl_precinct_returns,15714,116,691668,691668,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-D542310C8151CC933B03,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-fl-precinct-general.csv,FL,2018.0,parse_medsl_precinct_returns,46783,421,9943222,9943222,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-91AFD4792E0FAFB2E087,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-ga-precinct-general.csv,GA,2018.0,parse_medsl_precinct_returns,35099,326,6988549,6988549,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-17279E1619998C07F5A9,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-ky-precinct-general.csv,KY,2018.0,parse_medsl_precinct_returns,10434,228,2324178,2324178,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-521D278980EA627988A1,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-la-precinct-general.csv,LA,2018.0,parse_medsl_precinct_returns,515,10,64344,64344,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-D45CD85763D25D905FEF,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-mo-precinct-general.csv,MO,2018.0,parse_medsl_precinct_returns,10506,342,3531198,3531198,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-B6FB5CE25F7EF25F51AB,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-ms-precinct-general.csv,MS,2018.0,parse_medsl_precinct_returns,856,12,15629,15629,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-CBC5D1F82870DEF2A5AF,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-nc-precinct-general.csv,NC,2018.0,parse_medsl_precinct_returns,64384,380,7401181,7401181,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-A1C72DACDB1882AC43C6,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-ok-precinct-general.csv,OK,2018.0,parse_medsl_precinct_returns,14148,203,1343720,1343720,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-17B99FBBB9640F1492BA,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-sc-precinct-general.csv,SC,2018.0,parse_medsl_precinct_returns,9833,320,1505269,1505269,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-CC640CB983A28F648876,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-tn-precinct-general.csv,TN,2018.0,parse_medsl_precinct_returns,6151,224,3243053,3243053,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-4C46A5D71FF731D987C6,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-tx-precinct-general.csv,TX,2018.0,parse_medsl_precinct_returns,26426,310,12116901,12116901,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-E45BCE9FCE6B7A5A1DA9,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-3E0CBE54E67A09C7C29D,2018-va-precinct-general.csv,VA,2018.0,parse_medsl_precinct_returns,0,0,0,0,0,0,not_available,Archive/member has no legislative rows for this state-year.
LREC-E9EB4DCF7591218C3551,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-4566CF1137ECA9241380,ky22_cleaned.csv,KY,2022.0,parse_medsl_precinct_returns,8324,178,1947418,1947418,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-9C891E911D9434A73374,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-49DD3E353EA4D204CFAA,tn24.csv,TN,2024.0,parse_medsl_precinct_returns,6057,209,4132901,4132901,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-C535C4F46BA4B9F529E1,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-4F054496AD7CB5D11C6D,sc24.csv,SC,2024.0,parse_medsl_precinct_returns,40416,421,4402463,4402463,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-4A2D3360D311C768DFBB,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-641C5E81730F7A589943,ky24.csv,KY,2024.0,parse_medsl_precinct_returns,8392,182,2626956,2626956,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-BDA2F358017E2ACADB2A,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-871409DC8FF39034E538,south_carolina_cleaned.csv,SC,2022.0,parse_medsl_precinct_returns,16342,310,1493001,1493001,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-3B3E657A128BAD37F6C9,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-A7B5B04927C54598D2DF,ok24.csv,OK,2024.0,parse_medsl_precinct_returns,2132,90,900345,900345,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-D7DF765AF34A15C6D5EA,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-C3ABE0AF40990D35F24C,208slers_uoa_cand_contest20230810.csv,,,parse_klarner_candidate_contests,70544,70544,891050922,891050922,0,5602,exact,"All 64,942 finite vote rows preserved; null votes remain unknown. Canonical-name collisions, if any, retain joined original spellings."
LREC-F6C607D9C1BF0EC66130,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-D8A805E356D0489D1A7F,mo22_cleaned.csv,MO,2022.0,parse_medsl_precinct_returns,10245,277,2883338,2883338,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-A85F8EA1466BF385986D,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F4134309700B031A3915,ms_gen_2023_prec.csv,MS,2023.0,parse_mississippi_rdh_wide,1748,226,1421532,1421532,0,0,exact,"Candidate, party, chamber, and district labels decoded from the ZIP README."
LREC-F20A019CC96E6B4281A4,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,AR,2024.0,parse_medsl_precinct_returns,20884,182,1622986,1622986,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-0DE64000E91D9F137BE6,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,FL,2024.0,parse_medsl_precinct_returns,31336,504,15108422,15108422,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-DBD4AAF87713196E61B6,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,GA,2024.0,parse_medsl_precinct_returns,8232,350,9473551,9473551,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-0595C83595CEC8FAAF9A,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,KY,2024.0,parse_medsl_precinct_returns,8392,182,2626956,2626956,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-78A46B0814F0BD0D0E35,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,MO,2024.0,parse_medsl_precinct_returns,16153,318,4150449,4150449,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-3B54FCDA1F521F1773D8,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,NC,2024.0,parse_medsl_precinct_returns,53888,339,10737635,10737635,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-E35348D74E2886218AD8,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,OK,2024.0,parse_medsl_precinct_returns,2132,90,900345,900345,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-9FBB8461A5BEB65D1424,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,SC,2024.0,parse_medsl_precinct_returns,40416,421,4402463,4402463,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-02CD7C3E78A3BE4CCA9C,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,TN,2024.0,parse_medsl_precinct_returns,6057,209,4132901,4132901,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-DBF958B055734F7BCF93,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-F6B994E10C6C033B514B,STATE_precinct_general.csv,TX,2024.0,parse_medsl_precinct_returns,23474,278,15010292,15010292,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-E26ACFF9E144FD9EEFCA,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-FCFE20345EF7EB3B67DE,ok22_cleaned.csv,OK,2022.0,parse_medsl_precinct_returns,4548,77,516917,516917,0,0,exact,0 malformed legislative precinct rows excluded to review.
LREC-47154AF4F2585837E4AA,RUN-F8FBA87A48244C2B83960ACE5EAFFBBD,SRC-FE4DCE46566FD58A6922,,VA,2023.0,parse_virginia_2023_candidate_precinct,15595,392,4785657,4785657,0,0,exact,Precinct candidate votes aggregated to provider-reported legislative districts.
